 qp(1:3)   w(Ry)   eps  epsi --- LFC included. 
  0.10000000  0.00000000  0.00000000    0.0000D+00  0.521209668587069E+02 -0.109572029022414E-14    0.191861367942553E-01  0.403343234853472E-18
  0.10000000  0.00000000  0.00000000    0.2082D-02  0.521263812033289E+02  0.130879588715941E-13    0.191841439385425E-01 -0.481677954728903E-17
  0.10000000  0.00000000  0.00000000    0.6420D-02  0.521725128358524E+02  0.798042625105107E-15    0.191671810623009E-01 -0.293185561886758E-18
  0.10000000  0.00000000  0.00000000    0.1112D-01  0.522760829991270E+02 -0.130710920297641E-14    0.191292067543909E-01  0.478305962493795E-18
  0.10000000  0.00000000  0.00000000    0.1621D-01  0.524524281477555E+02  0.828453834005294E-15    0.190648943302121E-01 -0.301118277275517E-18
  0.10000000  0.00000000  0.00000000    0.2172D-01  0.527212892931509E+02  0.195508238217393E-14    0.189676696721055E-01 -0.703384862244744E-18
  0.10000000  0.00000000  0.00000000    0.2770D-01  0.531086037891060E+02  0.114883904114173E-14    0.188293407970391E-01 -0.407314074994355E-18
  0.10000000  0.00000000  0.00000000    0.3417D-01  0.536493657151283E+02 -0.234629119342023E-14    0.186395493529202E-01  0.815178519132916E-18
  0.10000000  0.00000000  0.00000000    0.4118D-01  0.543924790292535E+02  0.288769909770783E-15    0.183848947105753E-01 -0.976054866677960E-19
  0.10000000  0.00000000  0.00000000    0.4877D-01  0.554097339793778E+02  0.144759560346394E-13    0.180473705282934E-01 -0.471492865144695E-17
  0.10000000  0.00000000  0.00000000    0.5700D-01  0.568148838545521E+02 -0.207782673466348E-14    0.176010216365140E-01  0.643702333482971E-18
  0.10000000  0.00000000  0.00000000    0.6591D-01  0.588119295167212E+02  0.173971693466845E-14    0.170033530308793E-01 -0.502976546715006E-18
  0.10000000  0.00000000  0.00000000    0.7556D-01  0.617612335471125E+02  0.639942255772769E-01    0.161913690668218E-01 -0.167767718511766E-04
  0.10000000  0.00000000  0.00000000    0.8602D-01  0.657670513217034E+02  0.131654999744660E+01    0.151990914111722E-01 -0.304261227414432E-03
  0.10000000  0.00000000  0.00000000    0.9735D-01  0.703663542381321E+02  0.478615183183327E+01    0.141458928679899E-01 -0.962169943236275E-03
