 qp(1:3)   w(Ry)   eps  epsi --- LFC included. 
  0.10000000  0.10000000  0.00000000    0.0000D+00  0.306049135971534E+02  0.160966826224260E-14    0.326744918532628E-01 -0.171851792210234E-17
  0.10000000  0.10000000  0.00000000    0.2082D-02  0.306072542972375E+02  0.328260812101495E-14    0.326719930604901E-01 -0.350405001077763E-17
  0.10000000  0.10000000  0.00000000    0.6420D-02  0.306271894881462E+02 -0.306991770886696E-15    0.326507269100560E-01  0.327274707290247E-18
  0.10000000  0.10000000  0.00000000    0.1112D-01  0.306718924735484E+02 -0.820759407224927E-15    0.326031398571968E-01  0.872438300504006E-18
  0.10000000  0.10000000  0.00000000    0.1621D-01  0.307478351783656E+02 -0.370058992623450E-14    0.325226148182168E-01  0.391418973312888E-17
  0.10000000  0.10000000  0.00000000    0.2172D-01  0.308631996312416E+02 -0.395238601518124E-14    0.324010475889784E-01  0.414932505048079E-17
  0.10000000  0.10000000  0.00000000    0.2770D-01  0.310284839088523E+02  0.275022422811246E-14    0.322284518617651E-01 -0.285658395057758E-17
  0.10000000  0.10000000  0.00000000    0.3417D-01  0.312574143104137E+02 -0.138033267087962E-14    0.319924095470315E-01  0.141279018409454E-17
  0.10000000  0.10000000  0.00000000    0.4118D-01  0.315683792408689E+02 -0.120032530537062E-14    0.316772676978419E-01  0.120446557400368E-17
  0.10000000  0.10000000  0.00000000    0.4877D-01  0.319868125088889E+02  0.700511782884467E-15    0.312628837187859E-01 -0.684657729052265E-18
  0.10000000  0.10000000  0.00000000    0.5700D-01  0.325494702233707E+02  0.224032495231010E-14    0.307224662379295E-01 -0.211457535981397E-17
  0.10000000  0.10000000  0.00000000    0.6591D-01  0.333130513462385E+02 -0.232170046418342E-14    0.300182649018405E-01  0.209207553016464E-17
  0.10000000  0.10000000  0.00000000    0.7556D-01  0.343754700861459E+02 -0.284279935070283E-14    0.290905112713796E-01  0.240574125522201E-17
  0.10000000  0.10000000  0.00000000    0.8602D-01  0.359225440932397E+02  0.230519094963510E-02    0.278376718888976E-01 -0.178637540622505E-05
  0.10000000  0.10000000  0.00000000    0.9735D-01  0.381069451338281E+02  0.403654268032254E+00    0.262389914603216E-01 -0.277940959439923E-03
  0.10000000  0.10000000  0.00000000    0.1096D+00  0.407320410886681E+02  0.204935931603001E+01    0.244887058732216E-01 -0.123210514812055E-02
  0.10000000  0.10000000  0.00000000    0.1229D+00  0.434437167970562E+02  0.511155931520466E+01    0.227039807525373E-01 -0.267133553167171E-02
  0.10000000  0.10000000  0.00000000    0.1373D+00  0.460354271775680E+02  0.980554129943858E+01    0.207796497681233E-01 -0.442606328389818E-02
  0.10000000  0.10000000  0.00000000    0.1529D+00  0.484453752142271E+02  0.167912065105065E+02    0.184280093274764E-01 -0.638716304346686E-02
  0.10000000  0.10000000  0.00000000    0.1698D+00  0.505152792182669E+02  0.261538146547620E+02    0.156112979596785E-01 -0.808260391066097E-02
  0.10000000  0.10000000  0.00000000    0.1881D+00  0.498467475071791E+02  0.361119955118502E+02    0.131564304168332E-01 -0.953131307305903E-02
  0.10000000  0.10000000  0.00000000    0.2080D+00  0.443386537972248E+02  0.465141894280955E+02    0.107370877105936E-01 -0.112639173476188E-01
  0.10000000  0.10000000  0.00000000    0.2294D+00  0.334083140988607E+02  0.563945864459833E+02    0.777576808150635E-02 -0.131258112564076E-01
  0.10000000  0.10000000  0.00000000    0.2527D+00  0.134324066530237E+02  0.608250886863858E+02    0.346185255147599E-02 -0.156760805343336E-01
  0.10000000  0.10000000  0.00000000    0.2779D+00 -0.132556359413198E+02  0.420951257814252E+02   -0.680574918294611E-02 -0.216126083396663E-01
  0.10000000  0.10000000  0.00000000    0.3053D+00 -0.116959622903863E+02  0.865259980542767E+01   -0.552574674597262E-01 -0.408791290805932E-01
  0.10000000  0.10000000  0.00000000    0.3348D+00  0.401422031534032E+01  0.170563236474209E+02    0.130742674069387E-01 -0.555522414884611E-01
  0.10000000  0.10000000  0.00000000    0.3669D+00  0.166587912755786E+02  0.368223794050060E+02    0.101988252544320E-01 -0.225433530435425E-01
  0.10000000  0.10000000  0.00000000    0.4016D+00 -0.227462696420684E+02  0.161973642616710E+02   -0.291713314921023E-01 -0.207725789595700E-01
  0.10000000  0.10000000  0.00000000    0.4392D+00 -0.134357566428278E+02  0.774392016294957E+01   -0.558687530555850E-01 -0.322008782063603E-01
  0.10000000  0.10000000  0.00000000    0.4800D+00 -0.698337489880594E+01  0.847761459378767E+01   -0.578872771200240E-01 -0.702734755642658E-01
  0.10000000  0.10000000  0.00000000    0.5241D+00 -0.468504800801351E+01  0.984307764450253E+01   -0.394245332131993E-01 -0.828291921133010E-01
  0.10000000  0.10000000  0.00000000    0.5719D+00 -0.496804628369081E+01  0.116864673877902E+02   -0.308086333079145E-01 -0.724719674205306E-01
