 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.00000000  0.00000000    0.1449D+01 -0.152777003642988E+01  0.183746675614045E+00   -0.645215628973054E+00 -0.776008326194612E-01
  0.10000000  0.00000000  0.00000000    0.1574D+01 -0.106055232641588E+01  0.140514280074191E+00   -0.926638675005140E+00 -0.122771845447060E+00
  0.10000000  0.00000000  0.00000000    0.1710D+01 -0.684723146598186E+00  0.104428536748828E+00   -0.142724662211060E+01 -0.217672320655725E+00
  0.10000000  0.00000000  0.00000000    0.1856D+01 -0.354849166235009E+00  0.106372497584773E+00   -0.258574151508097E+01 -0.775123092400439E+00
  0.10000000  0.00000000  0.00000000    0.2015D+01 -0.197141660991603E+00  0.237555759722912E+00   -0.206869549560076E+01 -0.249277868321164E+01
  0.10000000  0.00000000  0.00000000    0.2187D+01 -0.761672348015598E-01  0.595429037703986E-01   -0.814901288951484E+01 -0.637040180818253E+01
  0.10000000  0.00000000  0.00000000    0.2373D+01  0.163355036591808E+00  0.185504644263331E-01    0.604369791212325E+01 -0.686317394684902E+00
  0.10000000  0.00000000  0.00000000    0.2575D+01  0.325306509166729E+00  0.838743172573227E-01    0.288240953523857E+01 -0.743176435182314E+00
  0.10000000  0.00000000  0.00000000    0.2794D+01  0.403799806962170E+00  0.930477466738820E-01    0.235160858660575E+01 -0.541882081838431E+00
  0.10000000  0.00000000  0.00000000    0.3030D+01  0.498010945523225E+00  0.546317438538739E-01    0.198411107350344E+01 -0.217656758189102E+00
  0.10000000  0.00000000  0.00000000    0.3287D+01  0.569705863736681E+00  0.961310449061003E-01    0.170669775506815E+01 -0.287984816335731E+00
  0.10000000  0.00000000  0.00000000    0.3565D+01  0.620242307514059E+00  0.531034402833411E-01    0.160054065494879E+01 -0.137033888306960E+00
  0.10000000  0.00000000  0.00000000    0.3866D+01  0.688558149949140E+00  0.610251837291967E-01    0.144099141781373E+01 -0.127711459127706E+00
  0.10000000  0.00000000  0.00000000    0.4192D+01  0.717564949258439E+00  0.767060219175766E-01    0.137785714387324E+01 -0.147289719747954E+00
  0.10000000  0.00000000  0.00000000    0.4545D+01  0.754817106833530E+00  0.380614491145566E-01    0.132146421460693E+01 -0.666344767568466E-01
  0.10000000  0.00000000  0.00000000    0.4928D+01  0.784879956600208E+00  0.695286857511129E-01    0.126415991266156E+01 -0.111985758544948E+00
  0.10000000  0.00000000  0.00000000    0.5343D+01  0.790235724158532E+00  0.406861971287426E-01    0.126209959115215E+01 -0.649806522179202E-01
  0.10000000  0.00000000  0.00000000    0.5792D+01  0.820652855946820E+00  0.155584337239602E-01    0.121810421200312E+01 -0.230935571770623E-01
  0.10000000  0.00000000  0.00000000    0.6279D+01  0.850087153822233E+00  0.131819475671655E-01    0.117606718225579E+01 -0.182367841488423E-01
  0.10000000  0.00000000  0.00000000    0.6806D+01  0.872126272365088E+00  0.380785346028992E-02    0.114660109274333E+01 -0.500625778275737E-02
  0.10000000  0.00000000  0.00000000    0.7377D+01  0.894803474053162E+00  0.000000000000000E+00    0.111756383272668E+01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.7995D+01  0.913105134012204E+00  0.355948831251859E-03    0.109516397486947E+01 -0.426919444830016E-03
  0.10000000  0.00000000  0.00000000    0.8665D+01  0.926901334500126E+00  0.635958034518701E-03    0.107886297282114E+01 -0.740220722716242E-03
  0.10000000  0.00000000  0.00000000    0.9391D+01  0.937901521693560E+00  0.706024253627513E-03    0.106620941560235E+01 -0.802610604045090E-03
  0.10000000  0.00000000  0.00000000    0.1018D+02  0.947326673433978E+00  0.000000000000000E+00    0.105560207269905E+01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.1103D+02  0.955568574938519E+00  0.000000000000000E+00    0.104649736944765E+01  0.000000000000000E+00
  0.10000000  0.00000000  0.00000000    0.1195D+02  0.962360774502405E+00  0.000000000000000E+00    0.103911134627973E+01  0.000000000000000E+00
