 qp(1:3)   w(Ry)   eps  epsi --- LFC included. 
  0.05000000  0.00000000  0.00000000    0.0000D+00  0.127525616614716E+03 -0.137420313044731E-14    0.784156177045765E-02  0.844998755435564E-19
  0.05000000  0.00000000  0.00000000    0.2082D-02  0.127547820506453E+03  0.189354029330202E-14    0.784019668881293E-02 -0.116393430156098E-18
  0.05000000  0.00000000  0.00000000    0.6420D-02  0.127737336247384E+03 -0.199486364488307E-14    0.782856468889673E-02  0.122258061333381E-18
  0.05000000  0.00000000  0.00000000    0.1112D-01  0.128165031213782E+03 -0.641403278356092E-14    0.780244026416204E-02  0.390473962922340E-18
  0.05000000  0.00000000  0.00000000    0.1621D-01  0.128900606882128E+03 -0.226069595547634E-13    0.775791537517308E-02  0.136060553443470E-17
  0.05000000  0.00000000  0.00000000    0.2172D-01  0.130041359404424E+03 -0.122085824473774E-14    0.768986116863046E-02  0.721941884613340E-19
  0.05000000  0.00000000  0.00000000    0.2770D-01  0.131731429652019E+03  0.151236196421672E-14    0.759120281804875E-02 -0.871519153401650E-19
  0.05000000  0.00000000  0.00000000    0.3417D-01  0.134207569509379E+03 -0.484847127951638E-14    0.745114454911665E-02  0.269184968314269E-18
  0.05000000  0.00000000  0.00000000    0.4118D-01  0.137894880402752E+03  0.120453962960606E-01    0.725190079174009E-02 -0.633468180117304E-06
  0.05000000  0.00000000  0.00000000    0.4877D-01  0.143175566377034E+03  0.860337296589494E+00    0.698417976557836E-02 -0.419677078321415E-04
  0.05000000  0.00000000  0.00000000    0.5700D-01  0.149845527886221E+03  0.403778301966254E+01    0.666869700875462E-02 -0.179696731194204E-03
  0.05000000  0.00000000  0.00000000    0.6591D-01  0.157323567638271E+03  0.100475237501576E+02    0.633050598637547E-02 -0.404299941855308E-03
  0.05000000  0.00000000  0.00000000    0.7556D-01  0.165090452515258E+03  0.193466992570253E+02    0.597522684805101E-02 -0.700227754303730E-03
  0.05000000  0.00000000  0.00000000    0.8602D-01  0.172652139316737E+03  0.325365204999606E+02    0.559335141656171E-02 -0.105407435869983E-02
  0.05000000  0.00000000  0.00000000    0.9735D-01  0.179453767549174E+03  0.505263308390613E+02    0.516316179703777E-02 -0.145372050247564E-02
  0.05000000  0.00000000  0.00000000    0.1096D+00  0.184719128041493E+03  0.749017575816142E+02    0.464919410448200E-02 -0.188520167594965E-02
  0.05000000  0.00000000  0.00000000    0.1229D+00  0.186882447244004E+03  0.109002799833184E+03    0.399264654650651E-02 -0.232878827697106E-02
  0.05000000  0.00000000  0.00000000    0.1373D+00  0.183016921693215E+03  0.161262889259946E+03    0.307586744848233E-02 -0.271025906858136E-02
  0.05000000  0.00000000  0.00000000    0.1529D+00  0.152909398775433E+03  0.200058390637652E+03    0.241164352283842E-02 -0.315526400492451E-02
  0.05000000  0.00000000  0.00000000    0.1698D+00  0.977580121974331E+02  0.208039644817640E+03    0.185017667659317E-02 -0.393737648706437E-02
  0.05000000  0.00000000  0.00000000    0.1881D+00  0.480542661712847E+02  0.203260619072636E+03    0.110155339009224E-02 -0.465936620931076E-02
  0.05000000  0.00000000  0.00000000    0.2080D+00  0.247309502933911E+01  0.186122759164789E+03    0.713781306481010E-04 -0.537184963078411E-02
  0.05000000  0.00000000  0.00000000    0.2294D+00 -0.377895180433646E+02  0.154683976059356E+03   -0.149040621519261E-02 -0.610068535526216E-02
  0.05000000  0.00000000  0.00000000    0.2527D+00 -0.654516014798686E+02  0.104625990362632E+03   -0.429740051374512E-02 -0.686950012787328E-02
  0.05000000  0.00000000  0.00000000    0.2779D+00 -0.618186114813179E+02  0.386995580967205E+02   -0.116217949875436E-01 -0.727545183451006E-02
  0.05000000  0.00000000  0.00000000    0.3053D+00 -0.309250736640926E+02  0.209592496715599E+02   -0.221581817775843E-01 -0.150175507805965E-01
  0.05000000  0.00000000  0.00000000    0.3348D+00 -0.684987628001951E+01  0.370288753918674E+02   -0.483046127991179E-02 -0.261123765608485E-01
  0.05000000  0.00000000  0.00000000    0.3669D+00 -0.495709291115131E+00  0.507052047082321E+02   -0.192788210450678E-03 -0.197199565379237E-01
  0.05000000  0.00000000  0.00000000    0.4016D+00 -0.169811179326727E+02  0.422414622424198E+02   -0.819275439781288E-02 -0.203799259229432E-01
  0.05000000  0.00000000  0.00000000    0.4392D+00 -0.146398906411492E+02  0.357191446915120E+02   -0.982421877623177E-02 -0.239696252213088E-01
  0.05000000  0.00000000  0.00000000    0.4800D+00 -0.128220535487783E+02  0.418483177777500E+02   -0.669318900649945E-02 -0.218450733671456E-01
  0.05000000  0.00000000  0.00000000    0.5241D+00 -0.203721926060630E+02  0.505212946491760E+02   -0.686527067176814E-02 -0.170252838838526E-01
  0.05000000  0.00000000  0.00000000    0.5719D+00 -0.328723889599461E+02  0.386431257415366E+02   -0.127715058710551E-01 -0.150135394140446E-01
  0.05000000  0.00000000  0.00000000    0.6237D+00 -0.323684571624279E+02  0.617896410049831E+01   -0.298080467998947E-01 -0.569019555545315E-02
  0.05000000  0.00000000  0.00000000    0.6798D+00 -0.228907442392214E+02  0.529663538663890E+01   -0.414656958732247E-01 -0.959464968890846E-02
  0.05000000  0.00000000  0.00000000    0.7406D+00 -0.174583453969803E+02  0.416734832971605E+01   -0.541914328580828E-01 -0.129356231687977E-01
  0.05000000  0.00000000  0.00000000    0.8065D+00 -0.138949285018393E+02  0.328573511298748E+01   -0.681574676500560E-01 -0.161172030961118E-01
  0.05000000  0.00000000  0.00000000    0.8778D+00 -0.111116648135264E+02  0.250983708092431E+01   -0.856269074312529E-01 -0.193408990463985E-01
  0.05000000  0.00000000  0.00000000    0.9551D+00 -0.906235459775760E+01  0.212699013430693E+01   -0.104585310652523E+00 -0.245468130331586E-01
  0.05000000  0.00000000  0.00000000    0.1039D+01 -0.750309258538551E+01  0.187610783695459E+01   -0.125435838860736E+00 -0.313645550342770E-01
  0.05000000  0.00000000  0.00000000    0.1129D+01 -0.626184136173316E+01  0.114234643062468E+01   -0.154553787016909E+00 -0.281952155506899E-01
  0.05000000  0.00000000  0.00000000    0.1228D+01 -0.544432607032481E+01  0.709294647900004E+00   -0.180611891433235E+00 -0.235303775501175E-01
  0.05000000  0.00000000  0.00000000    0.1334D+01 -0.428995173478153E+01  0.460475338456375E+00   -0.230447758438009E+00 -0.247358283084877E-01
  0.05000000  0.00000000  0.00000000    0.1449D+01 -0.326153537556971E+01  0.339858787761870E+00   -0.303310693545933E+00 -0.316056067936184E-01
  0.05000000  0.00000000  0.00000000    0.1574D+01 -0.269310862806998E+01  0.105793090842613E+00   -0.370745992846554E+00 -0.145639741716839E-01
  0.05000000  0.00000000  0.00000000    0.1710D+01 -0.198384550388969E+01  0.139401402316408E+00   -0.501594820726054E+00 -0.352462030267793E-01
  0.05000000  0.00000000  0.00000000    0.1856D+01 -0.148161161252627E+01  0.116394452159934E+00   -0.670800818561987E+00 -0.526976794220919E-01
  0.05000000  0.00000000  0.00000000    0.2015D+01 -0.105253861961904E+01  0.203805467815518E+00   -0.915749288908443E+00 -0.177318635866554E+00
  0.05000000  0.00000000  0.00000000    0.2187D+01 -0.806708376755418E+00  0.652528499868089E-01   -0.123154751582000E+01 -0.996171449522384E-01
  0.05000000  0.00000000  0.00000000    0.2373D+01 -0.502900614263472E+00  0.355026154116839E-01   -0.197860359495455E+01 -0.139680884237386E+00
  0.05000000  0.00000000  0.00000000    0.2575D+01 -0.241120299160987E+00  0.912503233095402E-01   -0.362774466767240E+01 -0.137289508582000E+01
  0.05000000  0.00000000  0.00000000    0.2794D+01 -0.599262526680941E-01  0.107430878785568E+00   -0.396008965741014E+01 -0.709932447005351E+01
  0.05000000  0.00000000  0.00000000    0.3030D+01  0.888794536449498E-01  0.317664938077243E-01    0.997673945651523E+01 -0.356579635865795E+01
  0.05000000  0.00000000  0.00000000    0.3287D+01  0.254228387148687E+00  0.891553276875875E-01    0.350269739091750E+01 -0.122836059804394E+01
  0.05000000  0.00000000  0.00000000    0.3565D+01  0.338950486258771E+00  0.496933484239148E-01    0.288820341081098E+01 -0.423437948110791E+00
  0.05000000  0.00000000  0.00000000    0.3866D+01  0.447133496553292E+00  0.532127250829036E-01    0.220523569492201E+01 -0.262441981380173E+00
  0.05000000  0.00000000  0.00000000    0.4192D+01  0.532837124196842E+00  0.804293431319111E-01    0.183493791022400E+01 -0.276975541127344E+00
  0.05000000  0.00000000  0.00000000    0.4545D+01  0.579535183903625E+00  0.325367255165618E-01    0.172009900025668E+01 -0.965711670095446E-01
  0.05000000  0.00000000  0.00000000    0.4928D+01  0.652055438944981E+00  0.670320405209341E-01    0.151757409472542E+01 -0.156008342443621E+00
  0.05000000  0.00000000  0.00000000    0.5343D+01  0.681392521628127E+00  0.492034535119188E-01    0.145997015108297E+01 -0.105424657854998E+00
  0.05000000  0.00000000  0.00000000    0.5792D+01  0.715183654648856E+00  0.188945028807001E-01    0.139726699833546E+01 -0.369145255956931E-01
  0.05000000  0.00000000  0.00000000    0.6279D+01  0.759688627896427E+00  0.145544547990298E-01    0.131584579767304E+01 -0.252095628149070E-01
  0.05000000  0.00000000  0.00000000    0.6806D+01  0.795527238531289E+00  0.506778400405121E-02    0.125697697313404E+01 -0.800737861555803E-02
  0.05000000  0.00000000  0.00000000    0.7377D+01  0.828633052487193E+00  0.121761885815259E-18    0.120680679704779E+01 -0.177331897372610E-18
  0.05000000  0.00000000  0.00000000    0.7995D+01  0.856540856240536E+00  0.403999308803880E-03    0.116748637294716E+01 -0.550661050517534E-03
  0.05000000  0.00000000  0.00000000    0.8665D+01  0.878945410181133E+00  0.571331545666942E-03    0.113772660496505E+01 -0.739544336009590E-03
  0.05000000  0.00000000  0.00000000    0.9391D+01  0.897346380648435E+00  0.531041287924080E-03    0.111439648205993E+01 -0.659489530301036E-03
  0.05000000  0.00000000  0.00000000    0.1018D+02  0.912934413372780E+00 -0.122466157760319E-16    0.109536893927085E+01  0.146938951317330E-16
  0.05000000  0.00000000  0.00000000    0.1103D+02  0.926204950173310E+00 -0.122582336598330E-16    0.107967464416259E+01  0.142893903366265E-16
  0.05000000  0.00000000  0.00000000    0.1195D+02  0.937371881036171E+00 -0.225793382553625E-20    0.106681245750043E+01  0.256972924196424E-20
