 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.10000000  0.00000000    0.0000D+00  0.378975178832939E+02 -0.503168063309570E-15    0.263869523877399E-01  0.350341459577060E-18
  0.10000000  0.10000000  0.00000000    0.2082D-02  0.379012039334659E+02 -0.503212164779729E-15    0.263843861465578E-01  0.350304019167856E-18
  0.10000000  0.10000000  0.00000000    0.6420D-02  0.379326045944674E+02 -0.503587346698626E-15    0.263625451162890E-01  0.349985040290935E-18
  0.10000000  0.10000000  0.00000000    0.1112D-01  0.380030663963286E+02 -0.504425911314433E-15    0.263136661018651E-01  0.349269052792522E-18
  0.10000000  0.10000000  0.00000000    0.1621D-01  0.381229229366541E+02 -0.505841657988216E-15    0.262309372673659E-01  0.348050458249406E-18
  0.10000000  0.10000000  0.00000000    0.2172D-01  0.383053692599949E+02 -0.507970580621585E-15    0.261060007857534E-01  0.346193774737899E-18
  0.10000000  0.10000000  0.00000000    0.2770D-01  0.385675499475611E+02 -0.510973532427580E-15    0.259285332192390E-01  0.343521800781079E-18
  0.10000000  0.10000000  0.00000000    0.3417D-01  0.389322330318095E+02 -0.515036751922106E-15    0.256856574135615E-01  0.339797040525672E-18
  0.10000000  0.10000000  0.00000000    0.4118D-01  0.394305019270819E+02 -0.520365842295807E-15    0.253610771135828E-01  0.334691104823963E-18
  0.10000000  0.10000000  0.00000000    0.4877D-01  0.401063365670371E+02 -0.527161596903960E-15    0.249337158563090E-01  0.327731191443808E-18
  0.10000000  0.10000000  0.00000000    0.5700D-01  0.410250301602272E+02 -0.535545905236753E-15    0.243753629453629E-01  0.318199054651871E-18
  0.10000000  0.10000000  0.00000000    0.6591D-01  0.422905156028166E+02 -0.545345799634888E-15    0.236459637757029E-01  0.304920071074741E-18
  0.10000000  0.10000000  0.00000000    0.7556D-01  0.440893093817006E+02 -0.555500566230787E-15    0.226812352931764E-01  0.285770841613650E-18
  0.10000000  0.10000000  0.00000000    0.8602D-01  0.469067188090429E+02  0.415055287264362E-02    0.213189073454777E-01 -0.188640890625112E-05
  0.10000000  0.10000000  0.00000000    0.9735D-01  0.514167616404421E+02  0.766866883492160E+00    0.194445851613277E-01 -0.290010649206982E-03
  0.10000000  0.10000000  0.00000000    0.1096D+00  0.573445201360017E+02  0.415604614436322E+01    0.173473387310075E-01 -0.125724899392267E-02
  0.10000000  0.10000000  0.00000000    0.1229D+00  0.634687164017087E+02  0.110585876942706E+02    0.152915651236600E-01 -0.266435377127135E-02
  0.10000000  0.10000000  0.00000000    0.1373D+00  0.682295663044629E+02  0.223277379799942E+02    0.132386870084309E-01 -0.433228511821953E-02
  0.10000000  0.10000000  0.00000000    0.1529D+00  0.683092149614954E+02  0.389850830349630E+02    0.110425759052571E-01 -0.630216199716235E-02
  0.10000000  0.10000000  0.00000000    0.1698D+00  0.585226557145479E+02  0.583166852400289E+02    0.857382223122350E-02 -0.854364666567808E-02
  0.10000000  0.10000000  0.00000000    0.1881D+00  0.396456209900213E+02  0.694125041600816E+02    0.620444779022839E-02 -0.108628960095904E-01
  0.10000000  0.10000000  0.00000000    0.2080D+00  0.189658890629275E+02  0.699211331486137E+02    0.361346584069158E-02 -0.133216863884769E-01
  0.10000000  0.10000000  0.00000000    0.2294D+00  0.515231665907819E+00  0.633344968875529E+02    0.128437888216012E-03 -0.157881387533277E-01
  0.10000000  0.10000000  0.00000000    0.2527D+00 -0.134903575776525E+02  0.491744125621567E+02   -0.518837437498751E-02 -0.189124165593062E-01
  0.10000000  0.10000000  0.00000000    0.2779D+00 -0.160881098547934E+02  0.274746282030021E+02   -0.158709559195272E-01 -0.271037814293223E-01
  0.10000000  0.10000000  0.00000000    0.3053D+00  0.139018520552270E-02  0.107824681303680E+02    0.119573870945674E-04 -0.927431429693351E-01
  0.10000000  0.10000000  0.00000000    0.3348D+00  0.149811126723558E+02  0.290647676699867E+02    0.140115884250142E-01 -0.271837994391423E-01
  0.10000000  0.10000000  0.00000000    0.3669D+00 -0.115883939653916E+02  0.607569031853788E+02   -0.302909734569075E-02 -0.158812838708148E-01
  0.10000000  0.10000000  0.00000000    0.4016D+00 -0.292911216236929E+02  0.111094482926909E+02   -0.298465769462994E-01 -0.113201197126752E-01
  0.10000000  0.10000000  0.00000000    0.4392D+00 -0.128082964860981E+02  0.668443360781079E+01   -0.613617793087535E-01 -0.320236762392010E-01
  0.10000000  0.10000000  0.00000000    0.4800D+00 -0.644108739521888E+01  0.802015858119331E+01   -0.608737726508512E-01 -0.757973429234528E-01
