 qp(1:3)   w(Ry)   eps  epsi --- LFC included. 
  0.00000000  0.00000000  0.01000000    0.6798D+00 -0.131244542914663E+03  0.491164366735262E+01   -0.760870822125748E-02 -0.284745275664319E-03
  0.00000000  0.00000000  0.01000000    0.7406D+00 -0.956836086881101E+02  0.399255757780119E+01   -0.104329458889924E-01 -0.435332004498932E-03
  0.00000000  0.00000000  0.01000000    0.8065D+00 -0.738044404209842E+02  0.321339483874900E+01   -0.135236837927324E-01 -0.588811939397673E-03
  0.00000000  0.00000000  0.01000000    0.8778D+00 -0.584575795622265E+02  0.243971384793299E+01   -0.170766775619279E-01 -0.712691271799476E-03
  0.00000000  0.00000000  0.01000000    0.9551D+00 -0.470979709039510E+02  0.208335343248904E+01   -0.211908732863191E-01 -0.937366891846071E-03
  0.00000000  0.00000000  0.01000000    0.1039D+01 -0.384897044015082E+02  0.181463807834770E+01   -0.259233525900711E-01 -0.122218404791213E-02
  0.00000000  0.00000000  0.01000000    0.1129D+01 -0.316926579095443E+02  0.105619990374785E+01   -0.315180440496245E-01 -0.105038066502806E-02
  0.00000000  0.00000000  0.01000000    0.1228D+01 -0.263915130722640E+02  0.572536182526105E+00   -0.378731447171594E-01 -0.821618132967510E-03
  0.00000000  0.00000000  0.01000000    0.1334D+01 -0.216144979071224E+02  0.406212471505691E+00   -0.462489081473193E-01 -0.869179722040716E-03
  0.00000000  0.00000000  0.01000000    0.1449D+01 -0.177197090361872E+02  0.321143032630793E+00   -0.564158048414231E-01 -0.102245147581610E-02
  0.00000000  0.00000000  0.01000000    0.1574D+01 -0.147932764599645E+02  0.448402196227854E-01   -0.675976559413760E-01 -0.204896714166056E-03
  0.00000000  0.00000000  0.01000000    0.1710D+01 -0.121105568111584E+02  0.152749804309623E+00   -0.825594524246448E-01 -0.104131795081088E-02
  0.00000000  0.00000000  0.01000000    0.1856D+01 -0.999624045660217E+01  0.812353308681707E-01   -0.100031003382192E+00 -0.812910783019479E-03
  0.00000000  0.00000000  0.01000000    0.2015D+01 -0.820439130525130E+01  0.194622888497111E+00   -0.121817397017964E+00 -0.288972731732831E-02
  0.00000000  0.00000000  0.01000000    0.2187D+01 -0.680282494689986E+01  0.585129111087963E-01   -0.146986881404494E+00 -0.126427335598276E-02
  0.00000000  0.00000000  0.01000000    0.2373D+01 -0.554711875932316E+01  0.329571607809510E-01   -0.180267404656216E+00 -0.107102481424872E-02
  0.00000000  0.00000000  0.01000000    0.2575D+01 -0.447568590194146E+01  0.103963596135616E+00   -0.223308951599470E+00 -0.518713827694758E-02
  0.00000000  0.00000000  0.01000000    0.2794D+01 -0.361704173658879E+01  0.128793096080180E+00   -0.276118938704126E+00 -0.983185033292322E-02
  0.00000000  0.00000000  0.01000000    0.3030D+01 -0.289612653211387E+01  0.687828056020775E-01   -0.345094127509198E+00 -0.819596175225070E-02
  0.00000000  0.00000000  0.01000000    0.3287D+01 -0.225620950558863E+01  0.210534840621703E+00   -0.439395255587564E+00 -0.410015159832975E-01
  0.00000000  0.00000000  0.01000000    0.3565D+01 -0.181739842757580E+01  0.106161642577631E+00   -0.548365941454239E+00 -0.320322875793745E-01
