 qp(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.05000000  0.00000000  0.00000000    0.0000D+00  0.153969158005441E+03  0.000000000000000E+00    0.649480722603328E-02  0.000000000000000E+00
  0.05000000  0.00000000  0.00000000    0.2082D-02  0.154001853663700E+03  0.000000000000000E+00    0.649342833355589E-02  0.000000000000000E+00
  0.05000000  0.00000000  0.00000000    0.6420D-02  0.154281022809092E+03  0.000000000000000E+00    0.648167857454123E-02  0.000000000000000E+00
  0.05000000  0.00000000  0.00000000    0.1112D-01  0.154911727644620E+03  0.000000000000000E+00    0.645528918439333E-02  0.000000000000000E+00
  0.05000000  0.00000000  0.00000000    0.1621D-01  0.155998667290213E+03  0.000000000000000E+00    0.641031117361821E-02  0.000000000000000E+00
  0.05000000  0.00000000  0.00000000    0.2172D-01  0.157689886129434E+03  0.000000000000000E+00    0.634156079724217E-02  0.000000000000000E+00
  0.05000000  0.00000000  0.00000000    0.2770D-01  0.160207987550874E+03  0.000000000000000E+00    0.624188603381869E-02  0.000000000000000E+00
  0.05000000  0.00000000  0.00000000    0.3417D-01  0.163924416493185E+03  0.000000000000000E+00    0.610037248503231E-02  0.000000000000000E+00
  0.05000000  0.00000000  0.00000000    0.4118D-01  0.169519263832963E+03  0.183419338484637E-01    0.589903451491026E-02 -0.638273777244007E-06
  0.05000000  0.00000000  0.00000000    0.4877D-01  0.177660539791880E+03  0.133579388084986E+01    0.562839374477523E-02 -0.423187610039448E-04
  0.05000000  0.00000000  0.00000000    0.5700D-01  0.188130695817562E+03  0.642623859959028E+01    0.530925886917518E-02 -0.181355648168105E-03
  0.05000000  0.00000000  0.00000000    0.6591D-01  0.199977948382596E+03  0.164412078484563E+02    0.496697794126925E-02 -0.408360608615047E-03
  0.05000000  0.00000000  0.00000000    0.7556D-01  0.212039677634840E+03  0.325717462816515E+02    0.460738036612638E-02 -0.707746898988272E-03
  0.05000000  0.00000000  0.00000000    0.8602D-01  0.222706846209925E+03  0.562435910191555E+02    0.422099604291512E-02 -0.106599316173430E-02
  0.05000000  0.00000000  0.00000000    0.9735D-01  0.229497896962868E+03  0.891602281497682E+02    0.378591756388725E-02 -0.147083384300910E-02
  0.05000000  0.00000000  0.00000000    0.1096D+00  0.228263731719479E+03  0.133353614464885E+03    0.326615881063030E-02 -0.190811777032169E-02
  0.05000000  0.00000000  0.00000000    0.1229D+00  0.211046170067732E+03  0.191243910619815E+03    0.260182334378537E-02 -0.235769675823894E-02
  0.05000000  0.00000000  0.00000000    0.1373D+00  0.161927345815570E+03  0.265632447748744E+03    0.167313048061465E-02 -0.274467380867776E-02
  0.05000000  0.00000000  0.00000000    0.1529D+00  0.874851658965390E+02  0.286190947069316E+03    0.976844889208415E-03 -0.319556076870213E-02
  0.05000000  0.00000000  0.00000000    0.1698D+00  0.224010640409082E+02  0.248941461434161E+03    0.358568145975596E-03 -0.398474278364162E-02
  0.05000000  0.00000000  0.00000000    0.1881D+00 -0.207415904962708E+02  0.209363357807590E+03   -0.468596414806954E-03 -0.472996122829739E-02
  0.05000000  0.00000000  0.00000000    0.2080D+00 -0.489781516450047E+02  0.167396952116971E+03   -0.161003245791647E-02 -0.550275004696098E-02
  0.05000000  0.00000000  0.00000000    0.2294D+00 -0.643750621108199E+02  0.123000884822834E+03   -0.334010474068844E-02 -0.638190978050440E-02
  0.05000000  0.00000000  0.00000000    0.2527D+00 -0.652264190954555E+02  0.763322779001521E+02   -0.647016730154491E-02 -0.757181852646596E-02
  0.05000000  0.00000000  0.00000000    0.2779D+00 -0.469476639590036E+02  0.303392606174946E+02   -0.150253974396159E-01 -0.970994955574392E-02
  0.05000000  0.00000000  0.00000000    0.3053D+00 -0.197081076688279E+02  0.235815800385529E+02   -0.208661713082992E-01 -0.249672519083654E-01
  0.05000000  0.00000000  0.00000000    0.3348D+00 -0.846604436962937E+01  0.512408212753429E+02   -0.313871573545296E-02 -0.189971095133172E-01
