    0.0840859277 ! ef or estaticav
    0.0000000000   0.00000  0.00000  0.00000 !x q
    0.0555555556   0.00000 -0.05556  0.00000 !x q
    0.1111111111   0.00000 -0.11111  0.00000 !x q
    0.1666666667   0.00000 -0.16667  0.00000 !x q
    0.2222222222   0.00000 -0.22222  0.00000 !x q
    0.2777777778   0.00000 -0.27778  0.00000 !x q
    0.3333333333   0.00000 -0.33333  0.00000 !x q
    0.3888888889   0.00000 -0.38889  0.00000 !x q
    0.4444444444   0.00000 -0.44444  0.00000 !x q
    0.5000000000   0.00000 -0.50000  0.00000 !x q
    0.5000000000   0.00000 -0.50000  0.00000 !x q
    0.5555555556  -0.05556 -0.50000  0.00000 !x q
    0.6111111111  -0.11111 -0.50000  0.00000 !x q
    0.6666666667  -0.16667 -0.50000  0.00000 !x q
    0.7222222222  -0.22222 -0.50000  0.00000 !x q
    0.7777777778  -0.27778 -0.50000  0.00000 !x q
    0.8333333333  -0.33333 -0.50000  0.00000 !x q
    0.8888888889  -0.38889 -0.50000  0.00000 !x q
    0.9444444444  -0.44444 -0.50000  0.00000 !x q
    1.0000000000  -0.50000 -0.50000  0.00000 !x q
    1.0000000000  -0.50000 -0.50000  0.00000 !x q
    1.0543928293  -0.46154 -0.46154  0.00000 !x q
    1.1087856586  -0.42308 -0.42308  0.00000 !x q
    1.1631784880  -0.38462 -0.38462  0.00000 !x q
    1.2175713173  -0.34615 -0.34615  0.00000 !x q
    1.2719641466  -0.30769 -0.30769  0.00000 !x q
    1.3263569759  -0.26923 -0.26923  0.00000 !x q
    1.3807498053  -0.23077 -0.23077  0.00000 !x q
    1.4351426346  -0.19231 -0.19231  0.00000 !x q
    1.4895354639  -0.15385 -0.15385  0.00000 !x q
    1.5439282932  -0.11538 -0.11538  0.00000 !x q
    1.5983211225  -0.07692 -0.07692  0.00000 !x q
    1.6527139519  -0.03846 -0.03846  0.00000 !x q
    1.7071067812   0.00000  0.00000  0.00000 !x q
    1.7071067812   0.00000  0.00000  0.00000 !x q
    1.7624165157   0.00000  0.00000 -0.05531 !x q
    1.8177262502   0.00000  0.00000 -0.11062 !x q
    1.8730359847   0.00000  0.00000 -0.16593 !x q
    1.9283457192   0.00000  0.00000 -0.22124 !x q
    1.9836554538   0.00000  0.00000 -0.27655 !x q
    2.0389651883   0.00000  0.00000 -0.33186 !x q
    2.0942749228   0.00000  0.00000 -0.38717 !x q
    2.1495846573   0.00000  0.00000 -0.44248 !x q
    2.1495846573   0.00000  0.00000 -0.44248 !x q
    2.2051402128   0.00000 -0.05556 -0.44248 !x q
    2.2606957684   0.00000 -0.11111 -0.44248 !x q
    2.3162513240   0.00000 -0.16667 -0.44248 !x q
    2.3718068795   0.00000 -0.22222 -0.44248 !x q
    2.4273624351   0.00000 -0.27778 -0.44248 !x q
    2.4829179906   0.00000 -0.33333 -0.44248 !x q
    2.5384735462   0.00000 -0.38889 -0.44248 !x q
    2.5940291017   0.00000 -0.44444 -0.44248 !x q
    2.6495846573   0.00000 -0.50000 -0.44248 !x q
    2.6495846573   0.00000 -0.50000 -0.44248 !x q
    2.7051402128  -0.05556 -0.50000 -0.44248 !x q
    2.7606957684  -0.11111 -0.50000 -0.44248 !x q
    2.8162513240  -0.16667 -0.50000 -0.44248 !x q
    2.8718068795  -0.22222 -0.50000 -0.44248 !x q
    2.9273624351  -0.27778 -0.50000 -0.44248 !x q
    2.9829179906  -0.33333 -0.50000 -0.44248 !x q
    3.0384735462  -0.38889 -0.50000 -0.44248 !x q
    3.0940291017  -0.44444 -0.50000 -0.44248 !x q
    3.1495846573  -0.50000 -0.50000 -0.44248 !x q
    3.1495846573  -0.50000 -0.50000 -0.44248 !x q
    3.2039774866  -0.46154 -0.46154 -0.44248 !x q
    3.2583703159  -0.42308 -0.42308 -0.44248 !x q
    3.3127631453  -0.38462 -0.38462 -0.44248 !x q
    3.3671559746  -0.34615 -0.34615 -0.44248 !x q
    3.4215488039  -0.30769 -0.30769 -0.44248 !x q
    3.4759416332  -0.26923 -0.26923 -0.44248 !x q
    3.5303344625  -0.23077 -0.23077 -0.44248 !x q
    3.5847272919  -0.19231 -0.19231 -0.44248 !x q
    3.6391201212  -0.15385 -0.15385 -0.44248 !x q
    3.6935129505  -0.11538 -0.11538 -0.44248 !x q
    3.7479057798  -0.07692 -0.07692 -0.44248 !x q
    3.8022986092  -0.03846 -0.03846 -0.44248 !x q
    3.8566914385   0.00000  0.00000 -0.44248 !x q
    3.8566914385   0.00000 -0.50000  0.00000 !x q
    3.9120011730   0.00000 -0.50000 -0.05531 !x q
    3.9673109075   0.00000 -0.50000 -0.11062 !x q
    4.0226206420   0.00000 -0.50000 -0.16593 !x q
    4.0779303765   0.00000 -0.50000 -0.22124 !x q
    4.1332401110   0.00000 -0.50000 -0.27655 !x q
    4.1885498456   0.00000 -0.50000 -0.33186 !x q
    4.2438595801   0.00000 -0.50000 -0.38717 !x q
    4.2991693146   0.00000 -0.50000 -0.44248 !x q
    4.2991693146  -0.50000 -0.50000  0.00000 !x q
    4.3544790491  -0.50000 -0.50000 -0.05531 !x q
    4.4097887836  -0.50000 -0.50000 -0.11062 !x q
    4.4650985181  -0.50000 -0.50000 -0.16593 !x q
    4.5204082526  -0.50000 -0.50000 -0.22124 !x q
    4.5757179872  -0.50000 -0.50000 -0.27655 !x q
    4.6310277217  -0.50000 -0.50000 -0.33186 !x q
    4.6863374562  -0.50000 -0.50000 -0.38717 !x q
    4.7416471907  -0.50000 -0.50000 -0.44248 !x q
