% rows 21 cols 10
 0.00000  -9.5813  -3.2237  -3.2237  -3.2237  -2.3625  -2.3625  22.9101  25.4951  25.4951
 0.05000  -9.5514  -3.2332  -3.2169  -3.2169  -2.3720  -2.3598  22.8775  25.3169  25.3169
 0.10000  -9.4589  -3.2618  -3.1938  -3.1938  -2.3965  -2.3489  22.7823  24.8162  24.8162
 0.15000  -9.3065  -3.3067  -3.1570  -3.1570  -2.4373  -2.3326  22.6353  24.0774  24.0774
 0.20000  -9.0943  -3.3679  -3.1053  -3.1053  -2.4918  -2.3094  22.4489  23.1904  23.1904
 0.25000  -8.8249  -3.4441  -3.0400  -3.0400  -2.5584  -2.2809  22.2258  22.2258  22.2340
 0.30000  -8.5011  -3.5325  -2.9625  -2.9625  -2.6305  -2.2469  21.2354  21.2354  22.0068
 0.35000  -8.1269  -3.6319  -2.8713  -2.8713  -2.7054  -2.2101  20.2517  20.2517  21.7741
 0.40000  -7.7106  -3.7366  -2.7720  -2.7693  -2.7693  -2.1680  19.2980  19.2980  21.5469
 0.45000  -7.2603  -3.8482  -2.8210  -2.6591  -2.6591  -2.1258  18.3865  18.3865  21.0204
 0.50000  -6.7923  -3.9597  -2.8346  -2.5394  -2.5394  -2.0809  17.5280  17.5280  19.6123
 0.55000  -6.3338  -4.0713  -2.7870  -2.4156  -2.4156  -2.0360  16.7294  16.7294  18.0083
 0.60000  -5.9175  -4.1788  -2.6441  -2.2904  -2.2904  -1.9925  15.9974  15.9974  16.3852
 0.65000  -5.5815  -4.2808  -2.3680  -2.1639  -2.1639  -1.9516  14.7526  15.3349  15.3349
 0.70000  -5.3488  -4.3733  -2.0428  -2.0428  -1.9380  -1.9122  13.2343  14.7485  14.7485
 0.75000  -5.2128  -4.4550  -1.9312  -1.9312  -1.8782  -1.3721  11.7962  14.2424  14.2424
 0.80000  -5.1434  -4.5243  -1.8482  -1.8319  -1.8319  -0.7095  10.4616  13.8220  13.8220
 0.85000  -5.1134  -4.5801  -1.8251  -1.7489  -1.7489  -0.0075   9.2589  13.4900  13.4900
 0.90000  -5.1039  -4.6209  -1.8074  -1.6863  -1.6863   0.6592   8.2453  13.2506  13.2506
 0.95000  -5.1026  -4.6454  -1.7965  -1.6482  -1.6482   1.1721   7.5283  13.1064  13.1064
 1.00000  -5.1039  -4.6536  -1.7925  -1.6346  -1.6346   1.3721   7.2603  13.0683  13.0683
