 qp(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.00000000  0.00000000  0.01000000    0.0000D+00  0.869376129707768E+03  0.103119478629456E-13    0.115025012285090E-02 -0.136434839776108E-19
  0.00000000  0.00000000  0.01000000    0.2082D-02  0.869685213259781E+03  0.103128284596554E-13    0.114984132736001E-02 -0.136349522609903E-19
  0.00000000  0.00000000  0.01000000    0.6420D-02  0.872343437695881E+03  0.103203713849621E-13    0.114633750514740E-02 -0.135618934864465E-19
  0.00000000  0.00000000  0.01000000    0.1112D-01  0.878492327826133E+03  0.103377083314460E-13    0.113831386834595E-02 -0.133951730571396E-19
  0.00000000  0.00000000  0.01000000    0.1621D-01  0.889640879526275E+03  0.744655355683111E-04    0.112404906632942E-02 -0.940861842745482E-10
  0.00000000  0.00000000  0.01000000    0.2172D-01  0.907831137789711E+03  0.144724647319776E+01    0.110152363911031E-02 -0.175602723401588E-05
  0.00000000  0.00000000  0.01000000    0.2770D-01  0.933650016627164E+03  0.100742890804189E+02    0.107094046687709E-02 -0.115556832422218E-04
  0.00000000  0.00000000  0.01000000    0.3417D-01  0.965873549996696E+03  0.289431601679392E+02    0.103440337221842E-02 -0.309967101599135E-04
  0.00000000  0.00000000  0.01000000    0.4118D-01  0.100297232188903E+04  0.605592689590076E+02    0.993414774179070E-03 -0.599821861325684E-04
  0.00000000  0.00000000  0.01000000    0.4877D-01  0.104311289016371E+04  0.107923401769821E+03    0.948515571017498E-03 -0.981360963143563E-04
  0.00000000  0.00000000  0.01000000    0.5700D-01  0.108371488438509E+04  0.174622727626888E+03    0.899399917120735E-03 -0.144923419450989E-03
  0.00000000  0.00000000  0.01000000    0.6591D-01  0.112095301568316E+04  0.264938015140124E+03    0.844900515999307E-03 -0.199692817243817E-03
  0.00000000  0.00000000  0.01000000    0.7556D-01  0.114903073836092E+04  0.383969908507285E+03    0.782876059980943E-03 -0.261612539236531E-03
  0.00000000  0.00000000  0.01000000    0.8602D-01  0.115894305770192E+04  0.537787607581662E+03    0.709978097526037E-03 -0.329453134014208E-03
  0.00000000  0.00000000  0.01000000    0.9735D-01  0.113606064819137E+04  0.733603880479028E+03    0.621202646073401E-03 -0.401137626277960E-03
  0.00000000  0.00000000  0.01000000    0.1096D+00  0.105432124448923E+04  0.979981022258521E+03    0.508853082982136E-03 -0.472973837003366E-03
  0.00000000  0.00000000  0.01000000    0.1229D+00  0.860854272716411E+03  0.128707317742121E+04    0.359044219012748E-03 -0.536811163568084E-03
  0.00000000  0.00000000  0.01000000    0.1373D+00  0.486345172971004E+03  0.159516291408691E+04    0.174876598772503E-03 -0.573577533831481E-03
  0.00000000  0.00000000  0.01000000    0.1529D+00  0.767716563481708E+02  0.140281689808714E+04    0.388955714253861E-04 -0.710722777802706E-03
  0.00000000  0.00000000  0.01000000    0.1698D+00 -0.184630041377678E+03  0.110801930575134E+04   -0.146323322242139E-03 -0.878129391707789E-03
  0.00000000  0.00000000  0.01000000    0.1881D+00 -0.318214361470304E+03  0.830660231880153E+03   -0.402163193036180E-03 -0.104979853717970E-02
  0.00000000  0.00000000  0.01000000    0.2080D+00 -0.363916246751795E+03  0.579478034499955E+03   -0.777217139266534E-03 -0.123759316672945E-02
  0.00000000  0.00000000  0.01000000    0.2294D+00 -0.342770157114185E+03  0.365203056118086E+03   -0.136635493793204E-02 -0.145577725691152E-02
  0.00000000  0.00000000  0.01000000    0.2527D+00 -0.270446166046398E+03  0.201067019921623E+03   -0.238133634090282E-02 -0.177043811896468E-02
  0.00000000  0.00000000  0.01000000    0.2779D+00 -0.167350527481633E+03  0.106877363895376E+03   -0.424435453537319E-02 -0.271063038165717E-02
  0.00000000  0.00000000  0.01000000    0.3053D+00 -0.744628827670192E+02  0.114836902450326E+03   -0.397512002552964E-02 -0.613044316358742E-02
  0.00000000  0.00000000  0.01000000    0.3348D+00 -0.248512374453786E+02  0.160828652581290E+03   -0.938368955109072E-03 -0.607280080140916E-02
  0.00000000  0.00000000  0.01000000    0.3669D+00 -0.109316651387210E+02  0.190686594601884E+03   -0.299654655786511E-03 -0.522702855817760E-02
  0.00000000  0.00000000  0.01000000    0.4016D+00 -0.815847870547559E+01  0.197730171484352E+03   -0.208316929445508E-03 -0.504880182560369E-02
  0.00000000  0.00000000  0.01000000    0.4392D+00 -0.135089108979846E+02  0.225659867273756E+03   -0.264337075059376E-03 -0.441562385923583E-02
  0.00000000  0.00000000  0.01000000    0.4800D+00 -0.462415793400597E+02  0.270449969799732E+03   -0.614249156503405E-03 -0.359251712845244E-02
  0.00000000  0.00000000  0.01000000    0.5241D+00 -0.130768493294919E+03  0.323743159414903E+03   -0.107266392301996E-02 -0.265559079774424E-02
  0.00000000  0.00000000  0.01000000    0.5719D+00 -0.209307364978436E+03  0.192464915317896E+03   -0.258876150515311E-02 -0.238045022409439E-02
  0.00000000  0.00000000  0.01000000    0.6237D+00 -0.189902169615418E+03  0.651516561573286E+01   -0.525967842408828E-02 -0.180449102228950E-03
  0.00000000  0.00000000  0.01000000    0.6798D+00 -0.128968300041723E+03  0.542276801888711E+01   -0.774015897681444E-02 -0.325452739525857E-03
