 q(1:3)   w(Ry)   eps  epsi --- LFC included. 
  0.10000000  0.10000000  0.00000000    0.0000D+00  0.305734002966255E+02 -0.136674402676213E-14    0.327081708379809E-01  0.146217616246171E-17
  0.10000000  0.10000000  0.00000000    0.2082D-02  0.305757378784212E+02 -0.142170798834658E-14    0.327056702270380E-01  0.152074539659187E-17
  0.10000000  0.10000000  0.00000000    0.6420D-02  0.305956465067296E+02 -0.192130766028101E-14    0.326843886034586E-01  0.205247390937185E-17
  0.10000000  0.10000000  0.00000000    0.1112D-01  0.306402898960186E+02 -0.105814326318911E-14    0.326367669298697E-01  0.112709034987304E-17
  0.10000000  0.10000000  0.00000000    0.1621D-01  0.307161312566055E+02 -0.138708926508122E-14    0.325561833176810E-01  0.147018294767380E-17
  0.10000000  0.10000000  0.00000000    0.2172D-01  0.308313415148430E+02 -0.166414787482666E-14    0.324345276873072E-01  0.175068121170963E-17
  0.10000000  0.10000000  0.00000000    0.2770D-01  0.309964043644047E+02 -0.177046528417073E-14    0.322618065064465E-01  0.184274304054085E-17
  0.10000000  0.10000000  0.00000000    0.3417D-01  0.312250270751211E+02 -0.120714076903969E-14    0.320255927270840E-01  0.123809015571123E-17
  0.10000000  0.10000000  0.00000000    0.4118D-01  0.315355721946373E+02 -0.172517984442370E-14    0.317102221525587E-01  0.173473421640007E-17
  0.10000000  0.10000000  0.00000000    0.4877D-01  0.319534371615746E+02 -0.186571262522547E-14    0.312955377834139E-01  0.182729888057084E-17
  0.10000000  0.10000000  0.00000000    0.5700D-01  0.325153244863552E+02 -0.134592354232680E-14    0.307547292175922E-01  0.127304631725923E-17
  0.10000000  0.10000000  0.00000000    0.6591D-01  0.332778485863555E+02 -0.117726291299339E-14    0.300500195319122E-01  0.106307273554194E-17
  0.10000000  0.10000000  0.00000000    0.7556D-01  0.343391390555766E+02 -0.107754268399479E-14    0.291212892199055E-01  0.913809519120996E-18
  0.10000000  0.10000000  0.00000000    0.8602D-01  0.359485871354750E+02  0.229769059974728E-02    0.278175048200410E-01 -0.177798418314913E-05
  0.10000000  0.10000000  0.00000000    0.9735D-01  0.384017722035176E+02  0.399416930700875E+00    0.260376480946926E-01 -0.270817644288275E-03
  0.10000000  0.10000000  0.00000000    0.1096D+00  0.414715094549713E+02  0.200227083841129E+01    0.240568625147318E-01 -0.116148061428092E-02
  0.10000000  0.10000000  0.00000000    0.1229D+00  0.446774830741291E+02  0.491924185271255E+01    0.221145395337124E-01 -0.243493502638017E-02
  0.10000000  0.10000000  0.00000000    0.1373D+00  0.477869927258369E+02  0.927315765024447E+01    0.201667927812826E-01 -0.391340484289431E-02
  0.10000000  0.10000000  0.00000000    0.1529D+00  0.504812828134521E+02  0.156707448827108E+02    0.180681848837021E-01 -0.560884945916424E-02
  0.10000000  0.10000000  0.00000000    0.1698D+00  0.520482972942852E+02  0.247153062165578E+02    0.156778042550045E-01 -0.744465723393096E-02
  0.10000000  0.10000000  0.00000000    0.1881D+00  0.505239464684831E+02  0.354105007688098E+02    0.132728178424332E-01 -0.930246267889898E-02
  0.10000000  0.10000000  0.00000000    0.2080D+00  0.442656216294248E+02  0.472868766072231E+02    0.105507532790577E-01 -0.112708722944583E-01
  0.10000000  0.10000000  0.00000000    0.2294D+00  0.322802565545227E+02  0.593259164616681E+02    0.707655271097422E-02 -0.130055650040683E-01
  0.10000000  0.10000000  0.00000000    0.2527D+00  0.949313839179835E+01  0.675614531872641E+02    0.203948703982813E-02 -0.145147687182592E-01
  0.10000000  0.10000000  0.00000000    0.2779D+00 -0.232495356346351E+02  0.490258247528837E+02   -0.789706653790665E-02 -0.166523842124621E-01
  0.10000000  0.10000000  0.00000000    0.3053D+00 -0.153772744481801E+02  0.870437462323378E+01   -0.492503495109238E-01 -0.278783794821984E-01
  0.10000000  0.10000000  0.00000000    0.3348D+00  0.751410321739142E+01  0.150703906805364E+02    0.264974434694959E-01 -0.531436438345014E-01
  0.10000000  0.10000000  0.00000000    0.3669D+00  0.166334318051125E+02  0.380854008760887E+02    0.963046094569738E-02 -0.220507691999956E-01
  0.10000000  0.10000000  0.00000000    0.4016D+00 -0.381660119693258E+02  0.224453250007308E+02   -0.194681136570049E-01 -0.114491432464528E-01
  0.10000000  0.10000000  0.00000000    0.4392D+00 -0.141385431484648E+02  0.783084230708194E+01   -0.541249384902704E-01 -0.299779018069368E-01
  0.10000000  0.10000000  0.00000000    0.4800D+00 -0.649151427079543E+01  0.840839174542940E+01   -0.575280726241194E-01 -0.745155214645837E-01
  0.10000000  0.10000000  0.00000000    0.5241D+00 -0.414885348680840E+01  0.975451922852627E+01   -0.369234552441338E-01 -0.868120687577238E-01
  0.10000000  0.10000000  0.00000000    0.5719D+00 -0.523790881573835E+01  0.116765638727129E+02   -0.319817934542742E-01 -0.712951422351373E-01
  0.10000000  0.10000000  0.00000000    0.6237D+00 -0.651926135395874E+01  0.808372697054751E+01   -0.604489373798913E-01 -0.749552255857998E-01
  0.10000000  0.10000000  0.00000000    0.6798D+00 -0.660508495664916E+01  0.712257514414920E+01   -0.700000983363868E-01 -0.754844129592671E-01
