 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.10000000  0.00000000    0.3053D+00  0.242341059296003E-02  0.107826893279444E+02    0.208436031118787E-04 -0.927412372807395E-01
  0.10000000  0.10000000  0.00000000    0.3348D+00  0.149807395831050E+02  0.290671580225305E+02    0.140095652248595E-01 -0.271827865345974E-01
  0.10000000  0.10000000  0.00000000    0.3669D+00 -0.115904857364924E+02  0.607569206144766E+02   -0.302960404215560E-02 -0.158810783661125E-01
  0.10000000  0.10000000  0.00000000    0.4016D+00 -0.292915206275194E+02  0.111070590819677E+02   -0.298478869681198E-01 -0.113180277747457E-01
  0.10000000  0.10000000  0.00000000    0.4392D+00 -0.128074710793699E+02  0.668451122173291E+01   -0.613637356776447E-01 -0.320271330071860E-01
  0.10000000  0.10000000  0.00000000    0.4800D+00 -0.644091024867377E+01  0.802021947478698E+01   -0.608728493728276E-01 -0.757988534502950E-01
  0.10000000  0.10000000  0.00000000    0.5241D+00 -0.439670244022800E+01  0.955147659552444E+01   -0.397669585356929E-01 -0.863904662397769E-01
  0.10000000  0.10000000  0.00000000    0.5719D+00 -0.545015096095188E+01  0.112915936504183E+02   -0.346692380263319E-01 -0.718275421667582E-01
  0.10000000  0.10000000  0.00000000    0.6237D+00 -0.703794159654712E+01  0.873830949958048E+01   -0.559051860372197E-01 -0.694118886215996E-01
  0.10000000  0.10000000  0.00000000    0.6798D+00 -0.693890383694699E+01  0.669555773683454E+01   -0.746288172859357E-01 -0.720115981877492E-01
  0.10000000  0.10000000  0.00000000    0.7406D+00 -0.665735451083663E+01  0.507584651023339E+01   -0.949902797085320E-01 -0.724245763057694E-01
  0.10000000  0.10000000  0.00000000    0.8065D+00 -0.580866894520050E+01  0.292295798833463E+01   -0.137371706024005E+00 -0.691262885322107E-01
  0.10000000  0.10000000  0.00000000    0.8778D+00 -0.435788268746359E+01  0.196755903360363E+01   -0.190613275772685E+00 -0.860608005236626E-01
  0.10000000  0.10000000  0.00000000    0.9551D+00 -0.331789991727107E+01  0.179254700295855E+01   -0.233298656677776E+00 -0.126043225609399E+00
  0.10000000  0.10000000  0.00000000    0.1039D+01 -0.295460424293690E+01  0.173466557308550E+01   -0.251696647490734E+00 -0.147772585890969E+00
  0.10000000  0.10000000  0.00000000    0.1129D+01 -0.262895800686004E+01  0.959442016517005E+00   -0.335670973444446E+00 -0.122503605918157E+00
  0.10000000  0.10000000  0.00000000    0.1228D+01 -0.200941444296194E+01  0.550826690838133E+00   -0.462875380680157E+00 -0.126884782332244E+00
  0.10000000  0.10000000  0.00000000    0.1334D+01 -0.145470367917309E+01  0.303963217887227E+00   -0.658667199115786E+00 -0.137629817141735E+00
  0.10000000  0.10000000  0.00000000    0.1449D+01 -0.954621976887231E+00  0.156630074161316E+00   -0.102007389757853E+01 -0.167369130499938E+00
  0.10000000  0.10000000  0.00000000    0.1574D+01 -0.574879751323600E+00  0.171569727653314E+00   -0.159723027191973E+01 -0.476684666875039E+00
  0.10000000  0.10000000  0.00000000    0.1710D+01 -0.306974083853324E+00  0.124720564847591E+00   -0.279605443396938E+01 -0.113600954182145E+01
  0.10000000  0.10000000  0.00000000    0.1856D+01 -0.507330493618530E-01  0.104488335951252E+00   -0.376032819455378E+01 -0.774466428928941E+01
  0.10000000  0.10000000  0.00000000    0.2015D+01  0.886921139485898E-01  0.194638854514130E+00    0.193860108659986E+01 -0.425434774363774E+01
  0.10000000  0.10000000  0.00000000    0.2187D+01  0.180054302049446E+00  0.860054642422598E-01    0.452210365523561E+01 -0.216004627378108E+01
  0.10000000  0.10000000  0.00000000    0.2373D+01  0.348419765209586E+00  0.368375214514490E-01    0.283837309193060E+01 -0.300093852592759E+00
  0.10000000  0.10000000  0.00000000    0.2575D+01  0.482081661239472E+00  0.704949681346437E-01    0.203090977733084E+01 -0.296980639481648E+00
  0.10000000  0.10000000  0.00000000    0.2794D+01  0.550240223535552E+00  0.906736528659541E-01    0.176934073281783E+01 -0.291568265181092E+00
  0.10000000  0.10000000  0.00000000    0.3030D+01  0.611332391200183E+00  0.671995148889715E-01    0.161624215749033E+01 -0.177662251321622E+00
  0.10000000  0.10000000  0.00000000    0.3287D+01  0.667623937598812E+00  0.771545752701357E-01    0.147810837869999E+01 -0.170818956210580E+00
  0.10000000  0.10000000  0.00000000    0.3565D+01  0.714153528724714E+00  0.578354441177975E-01    0.139113536085279E+01 -0.112660552929799E+00
  0.10000000  0.10000000  0.00000000    0.3866D+01  0.756081085372388E+00  0.684958860312779E-01    0.131184297668153E+01 -0.118844193777781E+00
  0.10000000  0.10000000  0.00000000    0.4192D+01  0.778628347363608E+00  0.630057812737024E-01    0.127595498431634E+01 -0.103248926049418E+00
  0.10000000  0.10000000  0.00000000    0.4545D+01  0.811867102480879E+00  0.447072724005350E-01    0.122800488502434E+01 -0.676228273521697E-01
  0.10000000  0.10000000  0.00000000    0.4928D+01  0.826067513522899E+00  0.700690715171895E-01    0.120190726731201E+01 -0.101948720766369E+00
  0.10000000  0.10000000  0.00000000    0.5343D+01  0.826633042234388E+00  0.367749803692509E-01    0.120733711971430E+01 -0.537116188297394E-01
  0.10000000  0.10000000  0.00000000    0.5792D+01  0.854271680710113E+00  0.131376235510843E-01    0.117031100620501E+01 -0.179979107166840E-01
  0.10000000  0.10000000  0.00000000    0.6279D+01  0.878965087944910E+00  0.127587645258302E-01    0.113746194645347E+01 -0.165110188458383E-01
  0.10000000  0.10000000  0.00000000    0.6806D+01  0.896420121367264E+00  0.327099707539759E-02    0.111553351097951E+01 -0.407053206966897E-02
  0.10000000  0.10000000  0.00000000    0.7377D+01  0.915484292443277E+00 -0.894251749888836E-16    0.109231803129157E+01  0.106698423881275E-15
  0.10000000  0.10000000  0.00000000    0.7995D+01  0.930474696865268E+00  0.384155489131121E-03    0.107472006806404E+01 -0.443708587473772E-03
  0.10000000  0.10000000  0.00000000    0.8665D+01  0.941590195269854E+00  0.581597745225494E-03    0.106203274365002E+01 -0.655992226942713E-03
  0.10000000  0.10000000  0.00000000    0.9391D+01  0.950458214708849E+00  0.560561916711940E-03    0.105212374061617E+01 -0.620522282337895E-03
  0.10000000  0.10000000  0.00000000    0.1018D+02  0.958054864192070E+00 -0.764031175632837E-16    0.104378155925684E+01  0.832396642018407E-16
  0.10000000  0.10000000  0.00000000    0.1103D+02  0.964659151971197E+00 -0.410497611991678E-16    0.103663558051213E+01  0.441126204459149E-16
  0.10000000  0.10000000  0.00000000    0.1195D+02  0.970088477253291E+00 -0.309014946462408E-16    0.103083380892370E+01  0.328364949945720E-16
