 q(1:3)   w(Ry)   eps  epsi --- LFC included. 
  0.00000000  0.00000000  0.01000000    0.0000D+00  0.765321955594688E+03  0.826355204567432E-15    0.130663963406480E-02 -0.141084213540499E-20
  0.00000000  0.00000000  0.01000000    0.2082D-02  0.765562108015163E+03  0.826138012132821E-15    0.130622974874325E-02 -0.140958654656159E-20
  0.00000000  0.00000000  0.01000000    0.6420D-02  0.767626744976641E+03  0.824873504767132E-15    0.130271646544888E-02 -0.139986823492630E-20
  0.00000000  0.00000000  0.01000000    0.1112D-01  0.772397420398998E+03  0.822472171845091E-15    0.129467030001658E-02 -0.137860415552386E-20
  0.00000000  0.00000000  0.01000000    0.1621D-01  0.781200191200186E+03  0.577347080000406E-04    0.128008161194080E-02 -0.946046082862322E-10
  0.00000000  0.00000000  0.01000000    0.2172D-01  0.796261674840739E+03  0.111583720856483E+01    0.125586609004689E-02 -0.175990149535884E-05
  0.00000000  0.00000000  0.01000000    0.2770D-01  0.818172551925020E+03  0.770988440601690E+01    0.122212754139951E-02 -0.115164729633503E-04
  0.00000000  0.00000000  0.01000000    0.3417D-01  0.845501341681024E+03  0.219463419779526E+02    0.118193391206548E-02 -0.306789883715101E-04
  0.00000000  0.00000000  0.01000000    0.4118D-01  0.877068698613304E+03  0.454322425739207E+02    0.113711039080433E-02 -0.589024271303126E-04
  0.00000000  0.00000000  0.01000000    0.4877D-01  0.911774502122571E+03  0.800251503208439E+02    0.108837828014545E-02 -0.955254125574046E-04
  0.00000000  0.00000000  0.01000000    0.5700D-01  0.948254518228248E+03  0.127916176852474E+03    0.103572209916701E-02 -0.139715243808808E-03
  0.00000000  0.00000000  0.01000000    0.6591D-01  0.984679611318158E+03  0.191770660809625E+03    0.978446979114891E-03 -0.190556828429564E-03
  0.00000000  0.00000000  0.01000000    0.7556D-01  0.101847097499527E+04  0.274977533845870E+03    0.915153962760322E-03 -0.247082917380416E-03
  0.00000000  0.00000000  0.01000000    0.8602D-01  0.104577304763853E+04  0.382119798743196E+03    0.843598842109591E-03 -0.308246440750049E-03
  0.00000000  0.00000000  0.01000000    0.9735D-01  0.106029301874128E+04  0.519955728151658E+03    0.760298178726905E-03 -0.372841644851752E-03
  0.00000000  0.00000000  0.01000000    0.1096D+00  0.105010566110800E+04  0.699853684243582E+03    0.659399936779735E-03 -0.439463848483929E-03
  0.00000000  0.00000000  0.01000000    0.1229D+00  0.980540688744481E+03  0.947599524532700E+03    0.527341133780609E-03 -0.509625162293759E-03
  0.00000000  0.00000000  0.01000000    0.1373D+00  0.739069070529338E+03  0.128478081383854E+04    0.336416848178843E-03 -0.584819375112863E-03
  0.00000000  0.00000000  0.01000000    0.1529D+00  0.284085422990115E+03  0.129456577633364E+04    0.161724127261461E-03 -0.736970303356249E-03
  0.00000000  0.00000000  0.01000000    0.1698D+00 -0.497022655639178E+02  0.113091010801446E+04   -0.387866240197866E-04 -0.882538947914221E-03
  0.00000000  0.00000000  0.01000000    0.1881D+00 -0.253915063376367E+03  0.914042769877668E+03   -0.282144449395086E-03 -0.101566283859431E-02
