 qp(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.00000000  0.00000000    0.4392D+00 -0.134526601422659E+02  0.128150860216901E+02   -0.389705702943360E-01 -0.371236027190766E-01
  0.10000000  0.00000000  0.00000000    0.4800D+00 -0.922799831950928E+01  0.146369950721625E+02   -0.308218870358132E-01 -0.488881546179061E-01
  0.10000000  0.00000000  0.00000000    0.5241D+00 -0.894744248590101E+01  0.169254141694713E+02   -0.244114562366185E-01 -0.461778891494138E-01
  0.10000000  0.00000000  0.00000000    0.5719D+00 -0.119812728830237E+02  0.180879756809245E+02   -0.254527663365466E-01 -0.384257184526726E-01
  0.10000000  0.00000000  0.00000000    0.6237D+00 -0.125989979683245E+02  0.668744256783268E+01   -0.619247329461677E-01 -0.328691294456130E-01
  0.10000000  0.00000000  0.00000000    0.6798D+00 -0.989210473779481E+01  0.529295947668167E+01   -0.785903794000500E-01 -0.420512827600967E-01
  0.10000000  0.00000000  0.00000000    0.7406D+00 -0.801288575419581E+01  0.413228948518219E+01   -0.985811191099818E-01 -0.508388281615473E-01
  0.10000000  0.00000000  0.00000000    0.8065D+00 -0.658222022657120E+01  0.322456824240956E+01   -0.122520399887187E+00 -0.600216001477278E-01
  0.10000000  0.00000000  0.00000000    0.8778D+00 -0.550119779825652E+01  0.278921131478086E+01   -0.144605199076029E+00 -0.733175705056140E-01
  0.10000000  0.00000000  0.00000000    0.9551D+00 -0.465276642825280E+01  0.212026977192466E+01   -0.177968394219380E+00 -0.811003544751377E-01
  0.10000000  0.00000000  0.00000000    0.1039D+01 -0.403492137308291E+01  0.194538875344707E+01   -0.201091236268421E+00 -0.969537181227534E-01
  0.10000000  0.00000000  0.00000000    0.1129D+01 -0.350170059096948E+01  0.110699715086282E+01   -0.259628515865164E+00 -0.820766995575449E-01
  0.10000000  0.00000000  0.00000000    0.1228D+01 -0.277322808294911E+01  0.452418953119999E+00   -0.351242631045853E+00 -0.573010292250798E-01
  0.10000000  0.00000000  0.00000000    0.1334D+01 -0.206462453394847E+01  0.306741162898993E+00   -0.473889392724396E+00 -0.704057231809522E-01
  0.10000000  0.00000000  0.00000000    0.1449D+01 -0.150539897604847E+01  0.184984264799588E+00   -0.654394610162026E+00 -0.804123742447252E-01
  0.10000000  0.00000000  0.00000000    0.1574D+01 -0.105198383318203E+01  0.140007677843117E+00   -0.934040539908519E+00 -0.124310700296946E+00
  0.10000000  0.00000000  0.00000000    0.1710D+01 -0.681701306097121E+00  0.102711772654684E+00   -0.143435626051509E+01 -0.216114114522263E+00
  0.10000000  0.00000000  0.00000000    0.1856D+01 -0.377489020247068E+00  0.107971555335928E+00   -0.244874975969178E+01 -0.700405325721401E+00
  0.10000000  0.00000000  0.00000000    0.2015D+01 -0.194062905049838E+00  0.236974261615329E+00   -0.206852134441576E+01 -0.252591456415941E+01
  0.10000000  0.00000000  0.00000000    0.2187D+01 -0.424632695537985E-01  0.598844763779384E-01   -0.787921046006561E+01 -0.111117772519803E+02
