 qp(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.10000000  0.00000000    0.0000D+00  0.379420036011358E+02  0.226462511192002E-15    0.263560145772077E-01 -0.157309806538229E-18
  0.10000000  0.10000000  0.00000000    0.2082D-02  0.379456941333659E+02  0.226491100967796E-15    0.263534512370586E-01 -0.157299064394611E-18
  0.10000000  0.10000000  0.00000000    0.6420D-02  0.379771329768201E+02  0.226734607700641E-15    0.263316348975149E-01 -0.157207573100597E-18
  0.10000000  0.10000000  0.00000000    0.1112D-01  0.380476804635774E+02  0.227280741846379E-15    0.262828111415961E-01 -0.157002391244025E-18
  0.10000000  0.10000000  0.00000000    0.1621D-01  0.381676827711430E+02  0.228208800842742E-15    0.262001758397568E-01 -0.156653751974181E-18
  0.10000000  0.10000000  0.00000000    0.2172D-01  0.383503510209398E+02  0.229619195066078E-15    0.260753806256945E-01 -0.156123940222721E-18
  0.10000000  0.10000000  0.00000000    0.2770D-01  0.386128507052399E+02  0.231640875316336E-15    0.258981137557993E-01 -0.155364383355962E-18
  0.10000000  0.10000000  0.00000000    0.3417D-01  0.389779776624955E+02  0.234442290217456E-15    0.256555126758718E-01 -0.154311165153694E-18
  0.10000000  0.10000000  0.00000000    0.4118D-01  0.394768533280993E+02  0.238248008861756E-15    0.253312996273745E-01 -0.152877729335300E-18
  0.10000000  0.10000000  0.00000000    0.4877D-01  0.401535115329465E+02  0.243364724734425E-15    0.249044220996584E-01 -0.150942161658272E-18
  0.10000000  0.10000000  0.00000000    0.5700D-01  0.410733256805983E+02  0.250223299197414E-15    0.243467015010271E-01 -0.148322831745747E-18
  0.10000000  0.10000000  0.00000000    0.6591D-01  0.423403566528928E+02  0.259448988833096E-15    0.236181288740202E-01 -0.144724800141135E-18
  0.10000000  0.10000000  0.00000000    0.7556D-01  0.441407163628843E+02  0.271978396346514E-15    0.226548203653725E-01 -0.139590433055893E-18
  0.10000000  0.10000000  0.00000000    0.8602D-01  0.468448495329740E+02  0.415513480372889E-02    0.213470638096174E-01 -0.189348303339787E-05
  0.10000000  0.10000000  0.00000000    0.9735D-01  0.508329359689742E+02  0.767813429998192E+00    0.196677977121656E-01 -0.297075093815266E-03
  0.10000000  0.10000000  0.00000000    0.1096D+00  0.557952515927250E+02  0.416123477053656E+01    0.178235332942976E-01 -0.132928706943438E-02
  0.10000000  0.10000000  0.00000000    0.1229D+00  0.606766845497904E+02  0.110724440210818E+02    0.159496720702147E-01 -0.291053890736478E-02
  0.10000000  0.10000000  0.00000000    0.1373D+00  0.638952626289152E+02  0.223557628155651E+02    0.139436705052560E-01 -0.487863071170515E-02
  0.10000000  0.10000000  0.00000000    0.1529D+00  0.626724230675381E+02  0.390340645248258E+02    0.114963824194635E-01 -0.716025504039985E-02
  0.10000000  0.10000000  0.00000000    0.1698D+00  0.536895115192299E+02  0.583896666100147E+02    0.853309303132361E-02 -0.928010784886298E-02
  0.10000000  0.10000000  0.00000000    0.1881D+00  0.377727386135039E+02  0.694976306425751E+02    0.603716590424735E-02 -0.111077126399126E-01
  0.10000000  0.10000000  0.00000000    0.2080D+00  0.199077068196421E+02  0.700040167486225E+02    0.375838418232252E-02 -0.132160871983242E-01
  0.10000000  0.10000000  0.00000000    0.2294D+00  0.377030190658583E+01  0.634074831845171E+02    0.934463376651046E-03 -0.157154446274048E-01
  0.10000000  0.10000000  0.00000000    0.2527D+00 -0.784203199838506E+01  0.492299930402879E+02   -0.315563340010272E-02 -0.198101474664665E-01
