 qp(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.05000000  0.00000000  0.00000000    0.0000D+00  0.154169823857111E+03  0.000000000000000E+00    0.648635365197554E-02  0.000000000000000E+00
  0.05000000  0.00000000  0.00000000    0.2082D-02  0.154202563903367E+03  0.000000000000000E+00    0.648497647955235E-02  0.000000000000000E+00
  0.05000000  0.00000000  0.00000000    0.6420D-02  0.154482112065983E+03  0.000000000000000E+00    0.647324137808835E-02  0.000000000000000E+00
  0.05000000  0.00000000  0.00000000    0.1112D-01  0.155113673277945E+03  0.000000000000000E+00    0.644688491264161E-02  0.000000000000000E+00
  0.05000000  0.00000000  0.00000000    0.1621D-01  0.156202089082906E+03 -0.250988519270317E-13    0.640196303308877E-02  0.102867972607295E-17
  0.05000000  0.00000000  0.00000000    0.2172D-01  0.157895605518251E+03  0.000000000000000E+00    0.633329848995962E-02  0.000000000000000E+00
  0.05000000  0.00000000  0.00000000    0.2770D-01  0.160417129678102E+03  0.000000000000000E+00    0.623374824126721E-02  0.000000000000000E+00
  0.05000000  0.00000000  0.00000000    0.3417D-01  0.164138614299929E+03  0.000000000000000E+00    0.609241161359330E-02  0.000000000000000E+00
  0.05000000  0.00000000  0.00000000    0.4118D-01  0.169741081812625E+03  0.183671831766473E-01    0.589132564499101E-02 -0.637483018956354E-06
  0.05000000  0.00000000  0.00000000    0.4877D-01  0.177893455755544E+03  0.133763266655480E+01    0.562102444528946E-02 -0.422661187034021E-04
  0.05000000  0.00000000  0.00000000    0.5700D-01  0.188377879497766E+03  0.643508459210913E+01    0.530229144911253E-02 -0.181128984454147E-03
  0.05000000  0.00000000  0.00000000    0.6591D-01  0.200241247010460E+03  0.164638398405071E+02    0.496044284207830E-02 -0.407847722231279E-03
  0.05000000  0.00000000  0.00000000    0.7556D-01  0.212319319590355E+03  0.326165825833200E+02    0.460129983905814E-02 -0.706853603717343E-03
  0.05000000  0.00000000  0.00000000    0.8602D-01  0.223000815717802E+03  0.563210125208076E+02    0.421540318979400E-02 -0.106464084029665E-02
  0.05000000  0.00000000  0.00000000    0.9735D-01  0.229800712132082E+03  0.892829606538392E+02    0.378087222795312E-02 -0.146895744244478E-02
  0.05000000  0.00000000  0.00000000    0.1096D+00  0.228564102425797E+03  0.133537180838021E+03    0.326176600427330E-02 -0.190566686606162E-02
  0.05000000  0.00000000  0.00000000    0.1229D+00  0.211321620650170E+03  0.191507165169935E+03    0.259826493889351E-02 -0.235464005659722E-02
  0.05000000  0.00000000  0.00000000    0.1373D+00  0.162132973394270E+03  0.265998095813386E+03    0.167074901903139E-02 -0.274105907231908E-02
  0.05000000  0.00000000  0.00000000    0.1529D+00  0.875863030525778E+02  0.286580556491814E+03    0.975351020999176E-03 -0.319132819437543E-02
  0.05000000  0.00000000  0.00000000    0.1698D+00  0.224132514040286E+02  0.249272828370597E+03    0.357814543715917E-03 -0.397949595693954E-02
  0.05000000  0.00000000  0.00000000    0.1881D+00 -0.207852211889685E+02  0.209635203930620E+03   -0.468357722080172E-03 -0.472375375215480E-02
  0.05000000  0.00000000  0.00000000    0.2080D+00 -0.490553730101853E+02  0.167608512440490E+03   -0.160842334980009E-02 -0.549553348577270E-02
  0.05000000  0.00000000  0.00000000    0.2294D+00 -0.644676958876878E+02  0.123152058122546E+03   -0.333640324685950E-02 -0.637350103675668E-02
  0.05000000  0.00000000  0.00000000    0.2527D+00 -0.653157569508369E+02  0.764240031086860E+02   -0.646257071911905E-02 -0.756165966352977E-02
  0.05000000  0.00000000  0.00000000    0.2779D+00 -0.470117168570853E+02  0.303768261779429E+02   -0.150060393829851E-01 -0.969621788844761E-02
  0.05000000  0.00000000  0.00000000    0.3053D+00 -0.197380961335678E+02  0.236120864666153E+02   -0.208400543035986E-01 -0.249303256431441E-01
  0.05000000  0.00000000  0.00000000    0.3348D+00 -0.848064410570062E+01  0.513014157888433E+02   -0.313661523688868E-02 -0.189741251291376E-01
  0.05000000  0.00000000  0.00000000    0.3669D+00 -0.157773257564020E+02  0.595370636602742E+02   -0.415894774336015E-02 -0.156941385618353E-01
  0.05000000  0.00000000  0.00000000    0.4016D+00 -0.195899842331350E+02  0.382816805315690E+02   -0.105934492736067E-01 -0.207011417668045E-01
  0.05000000  0.00000000  0.00000000    0.4392D+00 -0.150921150354257E+02  0.341539522671432E+02   -0.108244283689471E-01 -0.244960371004555E-01
  0.05000000  0.00000000  0.00000000    0.4800D+00 -0.141396292271385E+02  0.404156407912338E+02   -0.771244173056361E-02 -0.220446568717319E-01
  0.05000000  0.00000000  0.00000000    0.5241D+00 -0.220530832476439E+02  0.479901211037908E+02   -0.790605889910066E-02 -0.172045205543801E-01
  0.05000000  0.00000000  0.00000000    0.5719D+00 -0.328677989576819E+02  0.368150864240292E+02   -0.134945070770603E-01 -0.151151418727884E-01
  0.05000000  0.00000000  0.00000000    0.6237D+00 -0.315128552500618E+02  0.643639557263050E+01   -0.304622949563724E-01 -0.622182213682383E-02
  0.05000000  0.00000000  0.00000000    0.6798D+00 -0.225924736432570E+02  0.539926541004259E+01   -0.418711061329666E-01 -0.100065720378266E-01
  0.05000000  0.00000000  0.00000000    0.7406D+00 -0.172804251707107E+02  0.424094963592632E+01   -0.545814703488404E-01 -0.133953455726644E-01
  0.05000000  0.00000000  0.00000000    0.8065D+00 -0.137458318089960E+02  0.340064784884906E+01   -0.685535598168354E-01 -0.169597969014502E-01
  0.05000000  0.00000000  0.00000000    0.8778D+00 -0.111979528849164E+02  0.292036146009194E+01   -0.836150722794270E-01 -0.218063280920354E-01
  0.05000000  0.00000000  0.00000000    0.9551D+00 -0.930633967067227E+01  0.239296479566092E+01   -0.100789694200918E+00 -0.259163321481048E-01
  0.05000000  0.00000000  0.00000000    0.1039D+01 -0.793249717496485E+01  0.212028174193952E+01   -0.117657737940467E+00 -0.314488045883459E-01
  0.05000000  0.00000000  0.00000000    0.1129D+01 -0.674952154155388E+01  0.114674570680305E+01   -0.144001875969551E+00 -0.244659613311866E-01
  0.05000000  0.00000000  0.00000000    0.1228D+01 -0.543697396257557E+01  0.402606986490015E+00   -0.182922804721559E+00 -0.135454022175161E-01
  0.05000000  0.00000000  0.00000000    0.1334D+01 -0.425731393937854E+01  0.320886589850065E+00   -0.233562996566022E+00 -0.176043473773451E-01
  0.05000000  0.00000000  0.00000000    0.1449D+01 -0.335288650873997E+01  0.214064958651544E+00   -0.297039689307693E+00 -0.189644918322675E-01
  0.05000000  0.00000000  0.00000000    0.1574D+01 -0.258672466114944E+01  0.753403695433585E-01   -0.386261600646680E+00 -0.112501698268105E-01
