    0.0456443707 ! ef or estaticav
    0.0000000000   0.00000  0.00000  0.00000 !x q
    0.0618589574  -0.03571 -0.03571 -0.03571 !x q
    0.1237179148  -0.07143 -0.07143 -0.07143 !x q
    0.1855768722  -0.10714 -0.10714 -0.10714 !x q
    0.2474358297  -0.14286 -0.14286 -0.14286 !x q
    0.3092947871  -0.17857 -0.17857 -0.17857 !x q
    0.3711537445  -0.21429 -0.21429 -0.21429 !x q
    0.4330127019  -0.25000 -0.25000 -0.25000 !x q
    0.4330127019  -0.25000 -0.25000 -0.25000 !x q
    0.4882554192  -0.25000 -0.21094 -0.28906 !x q
    0.5434981365  -0.25000 -0.17188 -0.32812 !x q
    0.5987408537  -0.25000 -0.13281 -0.36719 !x q
    0.6539835710  -0.25000 -0.09375 -0.40625 !x q
    0.7092262883  -0.25000 -0.05469 -0.44531 !x q
    0.7644690056  -0.25000 -0.01562 -0.48438 !x q
    0.8197117229  -0.25000  0.02344 -0.52344 !x q
    0.8749544401  -0.25000  0.06250 -0.56250 !x q
    0.9301971574  -0.25000  0.10156 -0.60156 !x q
    0.9854398747  -0.25000  0.14062 -0.64062 !x q
    1.0406825920  -0.25000  0.17969 -0.67969 !x q
    1.0959253093  -0.25000  0.21875 -0.71875 !x q
    1.1511680265  -0.25000  0.25781 -0.75781 !x q
    1.2064107438  -0.25000  0.29688 -0.79688 !x q
    1.2616534611  -0.25000  0.33594 -0.83594 !x q
    1.3168961784  -0.25000  0.37500 -0.87500 !x q
    1.3168961784  -0.12500  0.62500 -0.75000 !x q
    1.3758217435  -0.08333  0.58333 -0.75000 !x q
    1.4347473086  -0.04167  0.54167 -0.75000 !x q
    1.4936728737  -0.00000  0.50000 -0.75000 !x q
    1.5525984388   0.04167  0.45833 -0.75000 !x q
    1.6115240039   0.08333  0.41667 -0.75000 !x q
    1.6704495690   0.12500  0.37500 -0.75000 !x q
    1.7293751341   0.16667  0.33333 -0.75000 !x q
    1.7883006992   0.20833  0.29167 -0.75000 !x q
    1.8472262643   0.25000  0.25000 -0.75000 !x q
    1.8472262643   0.25000  0.25000 -0.75000 !x q
    1.9025033441   0.23333  0.23333 -0.70000 !x q
    1.9577804239   0.21667  0.21667 -0.65000 !x q
    2.0130575038   0.20000  0.20000 -0.60000 !x q
    2.0683345836   0.18333  0.18333 -0.55000 !x q
    2.1236116635   0.16667  0.16667 -0.50000 !x q
    2.1788887433   0.15000  0.15000 -0.45000 !x q
    2.2341658231   0.13333  0.13333 -0.40000 !x q
    2.2894429030   0.11667  0.11667 -0.35000 !x q
    2.3447199828   0.10000  0.10000 -0.30000 !x q
    2.3999970627   0.08333  0.08333 -0.25000 !x q
    2.4552741425   0.06667  0.06667 -0.20000 !x q
    2.5105512223   0.05000  0.05000 -0.15000 !x q
    2.5658283022   0.03333  0.03333 -0.10000 !x q
    2.6211053820   0.01667  0.01667 -0.05000 !x q
    2.6763824619   0.00000  0.00000  0.00000 !x q
    2.6763824619   0.00000  0.00000  0.00000 !x q
    2.7303975632   0.00000  0.03819 -0.03819 !x q
    2.7844126645   0.00000  0.07639 -0.07639 !x q
    2.8384277659   0.00000  0.11458 -0.11458 !x q
    2.8924428672   0.00000  0.15278 -0.15278 !x q
    2.9464579686   0.00000  0.19097 -0.19097 !x q
    3.0004730699   0.00000  0.22917 -0.22917 !x q
    3.0544881712   0.00000  0.26736 -0.26736 !x q
    3.1085032726   0.00000  0.30556 -0.30556 !x q
    3.1625183739   0.00000  0.34375 -0.34375 !x q
    3.2165334753   0.00000  0.38194 -0.38194 !x q
    3.2705485766   0.00000  0.42014 -0.42014 !x q
    3.3245636779   0.00000  0.45833 -0.45833 !x q
    3.3785787793   0.00000  0.49653 -0.49653 !x q
    3.4325938806   0.00000  0.53472 -0.53472 !x q
    3.4866089820   0.00000  0.57292 -0.57292 !x q
    3.5406240833   0.00000  0.61111 -0.61111 !x q
    3.5946391846   0.00000  0.64931 -0.64931 !x q
    3.6486542860   0.00000  0.68750 -0.68750 !x q
    3.6486542860  -0.18750  0.50000 -0.81250 !x q
    3.7117888200  -0.23214  0.50000 -0.76786 !x q
    3.7749233541  -0.27679  0.50000 -0.72321 !x q
    3.8380578881  -0.32143  0.50000 -0.67857 !x q
    3.9011924221  -0.36607  0.50000 -0.63393 !x q
    3.9643269562  -0.41071  0.50000 -0.58929 !x q
    4.0274614902  -0.45536  0.50000 -0.54464 !x q
    4.0905960242  -0.50000  0.50000 -0.50000 !x q
    4.0905960242  -0.50000  0.50000 -0.50000 !x q
    4.1447226120  -0.46875  0.46875 -0.46875 !x q
    4.1988491997  -0.43750  0.43750 -0.43750 !x q
    4.2529757874  -0.40625  0.40625 -0.40625 !x q
    4.3071023752  -0.37500  0.37500 -0.37500 !x q
    4.3612289629  -0.34375  0.34375 -0.34375 !x q
    4.4153555506  -0.31250  0.31250 -0.31250 !x q
    4.4694821384  -0.28125  0.28125 -0.28125 !x q
    4.5236087261  -0.25000  0.25000 -0.25000 !x q
    4.5777353139  -0.21875  0.21875 -0.21875 !x q
    4.6318619016  -0.18750  0.18750 -0.18750 !x q
    4.6859884893  -0.15625  0.15625 -0.15625 !x q
    4.7401150771  -0.12500  0.12500 -0.12500 !x q
    4.7942416648  -0.09375  0.09375 -0.09375 !x q
    4.8483682525  -0.06250  0.06250 -0.06250 !x q
    4.9024948403  -0.03125  0.03125 -0.03125 !x q
    4.9566214280   0.00000  0.00000  0.00000 !x q
