    0.3164602053 ! ef or estaticav
    0.0000000000   0.00000  0.00000  0.00000 !x q
    0.0707106781   0.05000 -0.05000  0.00000 !x q
    0.1414213562   0.10000 -0.10000  0.00000 !x q
    0.2121320344   0.15000 -0.15000  0.00000 !x q
    0.2828427125   0.20000 -0.20000  0.00000 !x q
    0.3535533906   0.25000 -0.25000  0.00000 !x q
    0.4242640687   0.30000 -0.30000  0.00000 !x q
    0.4949747468   0.35000 -0.35000  0.00000 !x q
    0.5656854249   0.40000 -0.40000  0.00000 !x q
    0.6363961031   0.45000 -0.45000  0.00000 !x q
    0.7071067812   0.50000 -0.50000  0.00000 !x q
    0.7071067812   0.50000 -0.50000  0.00000 !x q
    0.7071067812   0.50000 -0.50000  0.00000 !x q
    0.7071067812   0.50000 -0.50000  0.00000 !x q
    0.7071067812  -0.50000 -0.50000  0.00000 !x q
    0.7778174593  -0.45000 -0.45000  0.00000 !x q
    0.8485281374  -0.40000 -0.40000  0.00000 !x q
    0.9192388155  -0.35000 -0.35000  0.00000 !x q
    0.9899494937  -0.30000 -0.30000  0.00000 !x q
    1.0606601718  -0.25000 -0.25000  0.00000 !x q
    1.1313708499  -0.20000 -0.20000  0.00000 !x q
    1.2020815280  -0.15000 -0.15000  0.00000 !x q
    1.2727922061  -0.10000 -0.10000  0.00000 !x q
    1.3435028843  -0.05000 -0.05000  0.00000 !x q
    1.4142135624   0.00000  0.00000  0.00000 !x q
    1.4142135624   0.00000  0.00000  0.00000 !x q
    1.4800789286   0.00000  0.00000 -0.06587 !x q
    1.5459442947   0.00000  0.00000 -0.13173 !x q
    1.6118096609   0.00000  0.00000 -0.19760 !x q
    1.6776750271   0.00000  0.00000 -0.26346 !x q
    1.7435403933   0.00000  0.00000 -0.32933 !x q
    1.8094057595   0.00000  0.00000 -0.39519 !x q
    1.8752711257   0.00000  0.00000 -0.46106 !x q
    1.9411364919   0.00000  0.00000 -0.52692 !x q
    2.0070018580   0.00000  0.00000 -0.59279 !x q
    2.0728672242   0.00000  0.00000 -0.65865 !x q
    2.1387325904   0.00000  0.00000 -0.72452 !x q
    2.1387325904   0.00000  0.00000 -0.72452 !x q
    2.2094432685  -0.05000 -0.05000 -0.72452 !x q
    2.2801539467  -0.10000 -0.10000 -0.72452 !x q
    2.3508646248  -0.15000 -0.15000 -0.72452 !x q
    2.4215753029  -0.20000 -0.20000 -0.72452 !x q
    2.4922859810  -0.25000 -0.25000 -0.72452 !x q
    2.5629966591  -0.30000 -0.30000 -0.72452 !x q
    2.6337073372  -0.35000 -0.35000 -0.72452 !x q
    2.7044180154  -0.40000 -0.40000 -0.72452 !x q
    2.7751286935  -0.45000 -0.45000 -0.72452 !x q
    2.8458393716  -0.50000 -0.50000 -0.72452 !x q
    2.8458393716   0.50000 -0.50000 -0.72452 !x q
    2.8458393716   0.50000 -0.50000 -0.72452 !x q
    2.8458393716   0.50000 -0.50000 -0.72452 !x q
    2.8458393716   0.50000 -0.50000 -0.72452 !x q
    2.9117047378   0.50000 -0.50000 -0.65865 !x q
    2.9775701040   0.50000 -0.50000 -0.59279 !x q
    3.0434354702   0.50000 -0.50000 -0.52692 !x q
    3.1093008363   0.50000 -0.50000 -0.46106 !x q
    3.1751662025   0.50000 -0.50000 -0.39519 !x q
    3.2410315687   0.50000 -0.50000 -0.32933 !x q
    3.3068969349   0.50000 -0.50000 -0.26346 !x q
    3.3727623011   0.50000 -0.50000 -0.19760 !x q
    3.4386276673   0.50000 -0.50000 -0.13173 !x q
    3.5044930335   0.50000 -0.50000 -0.06587 !x q
    3.5703583996   0.50000 -0.50000  0.00000 !x q
    3.5703583996   0.00000  0.00000  0.00000 !x q
    3.6417869711   0.00000 -0.07143  0.00000 !x q
    3.7132155425   0.00000 -0.14286  0.00000 !x q
    3.7846441139   0.00000 -0.21429  0.00000 !x q
    3.8560726854   0.00000 -0.28571  0.00000 !x q
    3.9275012568   0.00000 -0.35714  0.00000 !x q
    3.9989298282   0.00000 -0.42857  0.00000 !x q
    4.0703583996   0.00000 -0.50000  0.00000 !x q
    4.0703583996   0.00000 -0.50000  0.00000 !x q
    4.1362237658   0.00000 -0.50000 -0.06587 !x q
    4.2020891320   0.00000 -0.50000 -0.13173 !x q
    4.2679544982   0.00000 -0.50000 -0.19760 !x q
    4.3338198644   0.00000 -0.50000 -0.26346 !x q
    4.3996852306   0.00000 -0.50000 -0.32933 !x q
    4.4655505968   0.00000 -0.50000 -0.39519 !x q
    4.5314159629   0.00000 -0.50000 -0.46106 !x q
    4.5972813291   0.00000 -0.50000 -0.52692 !x q
    4.6631466953   0.00000 -0.50000 -0.59279 !x q
    4.7290120615   0.00000 -0.50000 -0.65865 !x q
    4.7948774277   0.00000 -0.50000 -0.72452 !x q
    4.7948774277   0.00000 -0.50000 -0.72452 !x q
    4.8663059991   0.00000 -0.42857 -0.72452 !x q
    4.9377345705   0.00000 -0.35714 -0.72452 !x q
    5.0091631420   0.00000 -0.28571 -0.72452 !x q
    5.0805917134   0.00000 -0.21429 -0.72452 !x q
    5.1520202848   0.00000 -0.14286 -0.72452 !x q
    5.2234488563   0.00000 -0.07143 -0.72452 !x q
    5.2948774277   0.00000  0.00000 -0.72452 !x q
    5.2948774277   0.00000  0.00000 -0.72452 !x q
    5.3655881058   0.05000 -0.05000 -0.72452 !x q
    5.4362987839   0.10000 -0.10000 -0.72452 !x q
    5.5070094620   0.15000 -0.15000 -0.72452 !x q
    5.5777201402   0.20000 -0.20000 -0.72452 !x q
    5.6484308183   0.25000 -0.25000 -0.72452 !x q
    5.7191414964   0.30000 -0.30000 -0.72452 !x q
    5.7898521745   0.35000 -0.35000 -0.72452 !x q
    5.8605628526   0.40000 -0.40000 -0.72452 !x q
    5.9312735308   0.45000 -0.45000 -0.72452 !x q
    6.0019842089   0.50000 -0.50000 -0.72452 !x q
