 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.00000000  0.00000000  0.01000000    0.0000D+00  0.267448327454566D+02  0.469983420438279D-14    0.373904002136592D-01 -0.657056574300580D-17
  0.00000000  0.00000000  0.01000000    0.1100D-01  0.267987079722087D+02  0.285433262346910D-14    0.373152318028556D-01 -0.397444845466645D-17
  0.00000000  0.00000000  0.01000000    0.3500D-01  0.273052435851469D+02 -0.665332804236107D-14    0.366230023505070D-01  0.892373832059969D-17
  0.00000000  0.00000000  0.01000000    0.6300D-01  0.286992637739891D+02  0.135182970534157D-13    0.348440994122758D-01 -0.164127167206568D-16
  0.00000000  0.00000000  0.01000000    0.9500D-01  0.321164931126935D+02  0.177368102660842D-13    0.311366498356810D-01 -0.171956772652336D-16
  0.00000000  0.00000000  0.01000000    0.1310D+00  0.413541615902104D+02  0.139178621695850D+01    0.241540044505979D-01 -0.812909975344647D-03
  0.00000000  0.00000000  0.01000000    0.1710D+00  0.483146514903704D+02  0.204515627315075D+02    0.175525479708332D-01 -0.742998293167525D-02
  0.00000000  0.00000000  0.01000000    0.2150D+00  0.406119320459550D+02  0.435156331227821D+02    0.114627793555895D-01 -0.122823533842418D-01
  0.00000000  0.00000000  0.01000000    0.2630D+00  0.118153308693784D+02  0.639700117013283D+02    0.279205778940867D-02 -0.151166286779283D-01
  0.00000000  0.00000000  0.01000000    0.3150D+00 -0.185476011114338D+02  0.441893175203729D+02   -0.807572869276783D-02 -0.192402746462513D-01
  0.00000000  0.00000000  0.01000000    0.3710D+00 -0.233839726299992D+02  0.162758782823825D+02   -0.288081287250363D-01 -0.200512378324621D-01
  0.00000000  0.00000000  0.01000000    0.4310D+00 -0.136701587232943D+02  0.483221858450332D+01   -0.650267633414437D-01 -0.229860926028004D-01
  0.00000000  0.00000000  0.01000000    0.4950D+00 -0.695561472672064D+01  0.588913381128046D+01   -0.837395571378882D-01 -0.709000536484423D-01
  0.00000000  0.00000000  0.01000000    0.5630D+00 -0.682760096286948D+01  0.675027148202324D+01   -0.740662899891840D-01 -0.732274144040087D-01
  0.00000000  0.00000000  0.01000000    0.6350D+00 -0.688285039686677D+01  0.295759016090698D+01   -0.122643113646469D+00 -0.527002688288727D-01
  0.00000000  0.00000000  0.01000000    0.7110D+00 -0.499610078643807D+01  0.130000227138285D+01   -0.187463710738549D+00 -0.487786896580437D-01
  0.00000000  0.00000000  0.01000000    0.7910D+00 -0.327356671126773D+01  0.480093058971450D+00   -0.299045212787975D+00 -0.438572186367780D-01
  0.00000000  0.00000000  0.01000000    0.8750D+00 -0.198080290476290D+01  0.542357705997975D+00   -0.469636973437444D+00 -0.128589891984156D+00
  0.00000000  0.00000000  0.01000000    0.9630D+00 -0.146728727670514D+01  0.845467416366626D+00   -0.511651558951370D+00 -0.294819377564534D+00
  0.00000000  0.00000000  0.01000000    0.1055D+01 -0.122775805285215D+01  0.554275622926812D+00   -0.676595616455737D+00 -0.305451433129973D+00
  0.00000000  0.00000000  0.01000000    0.1151D+01 -0.830484993252907D+00  0.352697543814507D+00   -0.102012540729969D+01 -0.433235673685204D+00
  0.00000000  0.00000000  0.01000000    0.1251D+01 -0.542061799783343D+00  0.336441819054332D+00   -0.133176833979653D+01 -0.826589446035857D+00
  0.00000000  0.00000000  0.01000000    0.1355D+01 -0.228656457166615D+00  0.103131030012300D+00   -0.363409471369881D+01 -0.163908745735931D+01
  0.00000000  0.00000000  0.01000000    0.1463D+01  0.304397877867016D-01  0.282319304752041D+00    0.377520735469039D+00 -0.350138418552512D+01
  0.00000000  0.00000000  0.01000000    0.1575D+01  0.656892095210073D-01  0.254682706615072D+00    0.949563069818629D+00 -0.368153756890294D+01
  0.00000000  0.00000000  0.01000000    0.1691D+01  0.218909945819485D+00  0.625053222397113D-01    0.422373851483972D+01 -0.120600339074607D+01
  0.00000000  0.00000000  0.01000000    0.1811D+01  0.409461807720150D+00  0.122030804266746D+00    0.224300580939887D+01 -0.668477005022655D+00
  0.00000000  0.00000000  0.01000000    0.1935D+01  0.496729294157563D+00  0.137155200010154D+00    0.187055700412202D+01 -0.516491825725443D+00
  0.00000000  0.00000000  0.01000000    0.2063D+01  0.535361260253063D+00  0.157712095384469D+00    0.171873968725017D+01 -0.506323594218489D+00
  0.00000000  0.00000000  0.01000000    0.2195D+01  0.609008732118316D+00  0.601992921427393D-01    0.162612384491137D+01 -0.160739081785573D+00
  0.00000000  0.00000000  0.01000000    0.2331D+01  0.717784112034122D+00  0.930010446625332D-01    0.137017464996170D+01 -0.177529248251877D+00
