 q(1:3)   w(Ry)   eps    epsi  --- NO LFC
  0.10000000  0.10000000  0.00000000    0.5168D+00 -0.144114527322093D+01  0.616725700294802D+01   -0.359280703840263D-01 -0.153751081029516D+00
  0.10000000  0.10000000  0.00000000    0.5502D+00 -0.297062357766857D+01  0.506655582454705D+01   -0.861185297210825D-01 -0.146879712946404D+00
  0.10000000  0.10000000  0.00000000    0.5842D+00 -0.269906815852914D+01  0.288644195320222D+01   -0.172834206157761D+00 -0.184832643824017D+00
  0.10000000  0.10000000  0.00000000    0.6188D+00 -0.228319163333790D+01  0.333464100927032D+01   -0.139791852891024D+00 -0.204168427479211D+00
  0.10000000  0.10000000  0.00000000    0.6542D+00 -0.233231719568121D+01  0.215100203825001D+01   -0.231690669168663D+00 -0.213678955224503D+00
  0.10000000  0.10000000  0.00000000    0.6902D+00 -0.181321225603642D+01  0.180611855237044D+01   -0.276834628578838D+00 -0.275751587796887D+00
  0.10000000  0.10000000  0.00000000    0.7268D+00 -0.157078934441658D+01  0.165818803594107D+01   -0.301092459774715D+00 -0.317845238946369D+00
  0.10000000  0.10000000  0.00000000    0.7642D+00 -0.144587684404429D+01  0.134846628485714D+01   -0.369891533068311D+00 -0.344971470738528D+00
  0.10000000  0.10000000  0.00000000    0.8022D+00 -0.120140943645501D+01  0.967764213744095D+00   -0.504804017793295D+00 -0.406631784761149D+00
  0.10000000  0.10000000  0.00000000    0.8408D+00 -0.787397351881995D+00  0.707928744654776D+00   -0.702307404040336D+00 -0.631426557018115D+00
  0.10000000  0.10000000  0.00000000    0.8802D+00 -0.414854455187631D+00  0.787539126897289D+00   -0.523593192219391D+00 -0.993963353396615D+00
  0.10000000  0.10000000  0.00000000    0.9202D+00 -0.179528837019040D+00  0.901158346153588D+00   -0.212632037242484D+00 -0.106732232103961D+01
  0.10000000  0.10000000  0.00000000    0.9608D+00 -0.272090607995650D+00  0.128032949370663D+01   -0.158812977740420D+00 -0.747298632916007D+00
  0.10000000  0.10000000  0.00000000    0.1002D+01 -0.552169929306531D+00  0.108567543803786D+01   -0.372186799365505D+00 -0.731792958990955D+00
  0.10000000  0.10000000  0.00000000    0.1044D+01 -0.597987080245368D+00  0.768461702891272D+00   -0.630706934351119D+00 -0.810509358493032D+00
  0.10000000  0.10000000  0.00000000    0.1087D+01 -0.488083906431924D+00  0.515534450043545D+00   -0.968417242541322D+00 -0.102288242649906D+01
  0.10000000  0.10000000  0.00000000    0.1130D+01 -0.311554223034263D+00  0.343292942488360D+00   -0.144965525877404D+01 -0.159733485404733D+01
  0.10000000  0.10000000  0.00000000    0.1174D+01 -0.929567881107076D-01  0.253043300945753D+00   -0.127913014563197D+01 -0.348199761382088D+01
  0.10000000  0.10000000  0.00000000    0.1219D+01  0.197018475450514D-01  0.360128729795585D+00    0.151458460644324D+00 -0.276849888945239D+01
  0.10000000  0.10000000  0.00000000    0.1264D+01  0.299108544889326D-02  0.316420359014648D+00    0.298717851240775D-01 -0.316007052786352D+01
  0.10000000  0.10000000  0.00000000    0.1310D+01  0.102983812916713D+00  0.130660582190037D+00    0.372080201455787D+01 -0.472076284288650D+01
  0.10000000  0.10000000  0.00000000    0.1357D+01  0.285457062106789D+00  0.146629031959398D+00    0.277180972344897D+01 -0.142377902135392D+01
  0.10000000  0.10000000  0.00000000    0.1404D+01  0.316890916975421D+00  0.266517343569423D+00    0.184828478314416D+01 -0.155447797388770D+01
  0.10000000  0.10000000  0.00000000    0.1452D+01  0.358964233508616D+00  0.141352785940656D+00    0.241181165744427D+01 -0.949722187115101D+00
  0.10000000  0.10000000  0.00000000    0.1501D+01  0.450116053114596D+00  0.227810876074474D+00    0.176861321095127D+01 -0.895123207083485D+00
  0.10000000  0.10000000  0.00000000    0.1550D+01  0.412628456218243D+00  0.287723604828118D+00    0.163063884426421D+01 -0.113703570215309D+01
  0.10000000  0.10000000  0.00000000    0.1600D+01  0.373333403667465D+00  0.204077280485453D+00    0.206232645990079D+01 -0.112734079317646D+01
  0.10000000  0.10000000  0.00000000    0.1651D+01  0.408220415785379D+00  0.119274387606892D+00    0.225697886395152D+01 -0.659447106097331D+00
  0.10000000  0.10000000  0.00000000    0.1702D+01  0.497794132976163D+00  0.532502431701294D-01    0.198613502825499D+01 -0.212461670833622D+00
  0.10000000  0.10000000  0.00000000    0.1754D+01  0.594381188620637D+00  0.786113298481459D-01    0.165349896903637D+01 -0.218687528049360D+00
  0.10000000  0.10000000  0.00000000    0.1807D+01  0.607032787375144D+00  0.153531075637422D+00    0.154831368762802D+01 -0.391600372878652D+00
