 q(1:3)   w(Ry)   eps  epsi --- LFC included. 
  0.10000000  0.10000000  0.00000000    0.0000D+00  0.906680478734937D+01  0.121393374047777D-04    0.110292437463027D+00 -0.147668020097568D-06
  0.10000000  0.10000000  0.00000000    0.1017D-01  0.907607702160413D+01  0.121733446938612D-04    0.110179761323958D+00 -0.147779289410090D-06
  0.10000000  0.10000000  0.00000000    0.3083D-01  0.915319198427930D+01  0.124583352345014D-04    0.109251505017666D+00 -0.148701335744031D-06
  0.10000000  0.10000000  0.00000000    0.5217D-01  0.932103383153998D+01  0.130920110488457D-04    0.107284236713559D+00 -0.150687835470375D-06
  0.10000000  0.10000000  0.00000000    0.7417D-01  0.960491354800232D+01  0.142059368598122D-04    0.104113378532782D+00 -0.153986610530820D-06
  0.10000000  0.10000000  0.00000000    0.9683D-01  0.100514181372270D+02  0.160670292398380D-04    0.994884489277975D-01 -0.159030675684341D-06
  0.10000000  0.10000000  0.00000000    0.1202D+00  0.107587183652575D+02  0.192970735911774D-04    0.929478740912134D-01 -0.166713348708306D-06
  0.10000000  0.10000000  0.00000000    0.1442D+00  0.120858939438811D+02  0.281148986334265D-02    0.827410823335545D-01 -0.192477044183035D-04
  0.10000000  0.10000000  0.00000000    0.1688D+00  0.141729790862518D+02  0.883521165811943D+00    0.702836685289375D-01 -0.438137306054892D-02
  0.10000000  0.10000000  0.00000000    0.1942D+00  0.158277742744669D+02  0.386096031656026D+01    0.596317123795711D-01 -0.145463077191764D-01
  0.10000000  0.10000000  0.00000000    0.2202D+00  0.163340608232037D+02  0.717924147116057D+01    0.513096195061438D-01 -0.225519025682022D-01
  0.10000000  0.10000000  0.00000000    0.2468D+00  0.161254057617275D+02  0.107872578533629D+02    0.428418653255150D-01 -0.286595112714775D-01
  0.10000000  0.10000000  0.00000000    0.2742D+00  0.155377088555044D+02  0.149378915465684D+02    0.334460035265220D-01 -0.321548548754238D-01
  0.10000000  0.10000000  0.00000000    0.3022D+00  0.154209773904612D+02  0.269824505041403D+02    0.159660722055315D-01 -0.279362158521652D-01
  0.10000000  0.10000000  0.00000000    0.3308D+00 -0.144276046713284D+02  0.181099598517195D+02   -0.269108256354894D-01 -0.337792712607272D-01
  0.10000000  0.10000000  0.00000000    0.3602D+00 -0.681482128696559D+01  0.938043904967307D+01   -0.506925308708727D-01 -0.697770603342738D-01
  0.10000000  0.10000000  0.00000000    0.3902D+00 -0.568784892854437D+01  0.880911567182640D+01   -0.517302228345324D-01 -0.801177250668247D-01
  0.10000000  0.10000000  0.00000000    0.4208D+00 -0.527580478174169D+01  0.345060514217850D+01   -0.132755401286535D+00 -0.868277901253312D-01
  0.10000000  0.10000000  0.00000000    0.4522D+00 -0.260446889476417D+01  0.297503096465666D+01   -0.166589334521215D+00 -0.190291552177296D+00
  0.10000000  0.10000000  0.00000000    0.4842D+00 -0.116296062270301D+01  0.286308041775128D+01   -0.121779719135390D+00 -0.299808198428423D+00
  0.10000000  0.10000000  0.00000000    0.5168D+00  0.996820344805802D-03  0.382329866618034D+01    0.681930967887758D-04 -0.261554228255671D+00
  0.10000000  0.10000000  0.00000000    0.5502D+00 -0.504645563289225D+00  0.507801944933545D+01   -0.193789239262445D-01 -0.195001323232208D+00
  0.10000000  0.10000000  0.00000000    0.5842D+00 -0.369360886404375D+01  0.286287915067942D+01   -0.169130396094367D+00 -0.131091272126366D+00
  0.10000000  0.10000000  0.00000000    0.6188D+00 -0.158368157632846D+01  0.255791276611639D+01   -0.174973780898919D+00 -0.282612158016399D+00
  0.10000000  0.10000000  0.00000000    0.6542D+00 -0.226491743224476D+01  0.192521535455764D+01   -0.256319513337947D+00 -0.217875608057765D+00
  0.10000000  0.10000000  0.00000000    0.6902D+00 -0.141844500614513D+01  0.154467922616652D+01   -0.322518987787142D+00 -0.351221498416048D+00
  0.10000000  0.10000000  0.00000000    0.7268D+00 -0.103939996816856D+01  0.150311745315322D+01   -0.311224210352917D+00 -0.450073654754466D+00
  0.10000000  0.10000000  0.00000000    0.7642D+00 -0.858815061403769D+00  0.126027342519515D+01   -0.369247444728373D+00 -0.541854425738347D+00
  0.10000000  0.10000000  0.00000000    0.8022D+00 -0.116933346637842D+01  0.146315596905098D+01   -0.333317584722809D+00 -0.417071457971089D+00
  0.10000000  0.10000000  0.00000000    0.8408D+00 -0.915924219482413D+00  0.799753813298289D+00   -0.619485804596818D+00 -0.540913892189065D+00
  0.10000000  0.10000000  0.00000000    0.8802D+00 -0.431157287220722D+00  0.688437857895357D+00   -0.653423765041823D+00 -0.104333539159927D+01
  0.10000000  0.10000000  0.00000000    0.9202D+00 -0.188213433277189D+00  0.739844877306955D+00   -0.322949780944213D+00 -0.126947761856666D+01
  0.10000000  0.10000000  0.00000000    0.9608D+00 -0.331417084859679D-01  0.862330111662368D+00   -0.445027427244304D-01 -0.115793834584865D+01
  0.10000000  0.10000000  0.00000000    0.1002D+01 -0.988094778141933D-01  0.987003425887490D+00   -0.100422353642146D+00 -0.100311436992784D+01
  0.10000000  0.10000000  0.00000000    0.1044D+01 -0.209783050172692D+00  0.908498937740274D+00   -0.241302113722734D+00 -0.104499726651473D+01
  0.10000000  0.10000000  0.00000000    0.1087D+01 -0.378662532917426D+00  0.667498949309051D+00   -0.642955868672538D+00 -0.113339010195814D+01
  0.10000000  0.10000000  0.00000000    0.1130D+01 -0.221229079387317D+00  0.401075512784731D+00   -0.105445660620025D+01 -0.191166877886152D+01
  0.10000000  0.10000000  0.00000000    0.1174D+01 -0.193024541686484D-01  0.267378535199893D+00   -0.268597492602259D+00 -0.372062554858977D+01
  0.10000000  0.10000000  0.00000000    0.1219D+01  0.197121911369962D+00  0.284915809538302D+00    0.164221639049555D+01 -0.237362457112623D+01
  0.10000000  0.10000000  0.00000000    0.1264D+01  0.351338361302134D+00  0.492177256631361D+00    0.960788534694405D+00 -0.134593405472767D+01
  0.10000000  0.10000000  0.00000000    0.1310D+01  0.882729502817836D-01  0.290577213150372D+00    0.957124590555699D+00 -0.315066614714428D+01
  0.10000000  0.10000000  0.00000000    0.1357D+01  0.282280389699363D+00  0.214548238169763D+00    0.224543220990550D+01 -0.170664892831537D+01
  0.10000000  0.10000000  0.00000000    0.1404D+01  0.335342533552304D+00  0.275756733688593D+00    0.177903954448116D+01 -0.146292845316161D+01
  0.10000000  0.10000000  0.00000000    0.1452D+01  0.386603772365786D+00  0.148616342058231D+00    0.225360165291042D+01 -0.866318587794433D+00
  0.10000000  0.10000000  0.00000000    0.1501D+01  0.511962887200344D+00  0.194548544978265D+00    0.170679821342408D+01 -0.648592148561766D+00
  0.10000000  0.10000000  0.00000000    0.1550D+01  0.540697238460319D+00  0.264471968178898D+00    0.149240640865429D+01 -0.729982755864521D+00
  0.10000000  0.10000000  0.00000000    0.1600D+01  0.505739394065993D+00  0.288890436275579D+00    0.149084504883488D+01 -0.851606344355676D+00
  0.10000000  0.10000000  0.00000000    0.1651D+01  0.452252936649922D+00  0.242719135652621D+00    0.171668631365433D+01 -0.921326506630073D+00
  0.10000000  0.10000000  0.00000000    0.1702D+01  0.502349752883121D+00  0.101230032846966D+00    0.191296423647119D+01 -0.385487265359727D+00
  0.10000000  0.10000000  0.00000000    0.1754D+01  0.603922381375038D+00  0.127228905932704D+00    0.158547497737511D+01 -0.334013530506737D+00
  0.10000000  0.10000000  0.00000000    0.1807D+01  0.660853460118628D+00  0.155546745436457D+00    0.143376392784358D+01 -0.337468631336554D+00
  0.10000000  0.10000000  0.00000000    0.1860D+01  0.656631041473254D+00  0.210246347802702D+00    0.138131141925641D+01 -0.442281376806729D+00
  0.10000000  0.10000000  0.00000000    0.1914D+01  0.665150277565528D+00  0.156835765340631D+00    0.142423650375455D+01 -0.335820685379483D+00
  0.10000000  0.10000000  0.00000000    0.1969D+01  0.708694516903505D+00  0.232333914317871D+00    0.127411031859889D+01 -0.417696243631549D+00
  0.10000000  0.10000000  0.00000000    0.2024D+01  0.622586294525647D+00  0.177246200047453D+00    0.148578008470987D+01 -0.422991762646582D+00
  0.10000000  0.10000000  0.00000000    0.2080D+01  0.661502173811379D+00  0.122080218955223D+00    0.146191974585642D+01 -0.269797273137920D+00
