        0.00000       -2.33970   1   1
        0.00000       -2.23264   1   2
        0.00000       -2.12937   1   3
        0.00000       -1.13677   1   4
        0.00000       -1.12776   1   5
        0.00000       -1.11883   1   6
        0.00000       -1.10986   1   7
        0.00000       -1.10097   1   8
        0.00000       -1.09205   1   9
        0.00000       -1.08320   1  10
        0.00000        0.50241   1  11
        0.00000        0.50501   1  12
        0.00000        0.50971   1  13
        0.00000        0.51438   1  14
        0.00000        0.51782   1  15
        0.00000        0.52683   1  16
        0.00000        0.81824   1  17
        0.00000        0.86812   1  18
        0.00000        0.88439   1  19
        0.00000        1.39334   1  20
        0.00000        1.39653   1  21
        0.00000        1.43126   1  22
        0.00000        1.43347   1  23
        0.00000        1.44618   1  24
        0.00000        1.44941   1  25
        0.00000        1.45015   1  26
        0.00000        1.45409   1  27
        0.00000        1.45501   1  28
        0.00000        1.46683   1  29
        0.00000        1.50644   1  30
        0.00000        1.51944   1  31
        0.00000        1.80404   1  32
        0.00000        2.26014   1  33
        0.00000        2.32352   1  34
        0.00000        2.37538   1  35
        0.00000        2.54632   1  36
        0.00000        2.55159   1  37
        0.00000        2.60578   1  38
        0.00000        2.62740   1  39
        0.00000        2.63443   1  40
        0.00000        2.66873   1  41
        0.00000        2.67171   1  42
        0.02165       -2.33970   1   1
        0.02165       -2.23264   1   2
        0.02165       -2.12937   1   3
        0.02165       -1.13677   1   4
        0.02165       -1.12776   1   5
        0.02165       -1.11883   1   6
        0.02165       -1.10986   1   7
        0.02165       -1.10097   1   8
        0.02165       -1.09205   1   9
        0.02165       -1.08320   1  10
        0.02165        0.50243   1  11
        0.02165        0.50501   1  12
        0.02165        0.50974   1  13
        0.02165        0.51437   1  14
        0.02165        0.51780   1  15
        0.02165        0.52681   1  16
        0.02165        0.81823   1  17
        0.02165        0.86810   1  18
        0.02165        0.88436   1  19
        0.02165        1.39328   1  20
        0.02165        1.39657   1  21
        0.02165        1.43122   1  22
        0.02165        1.43326   1  23
        0.02165        1.44547   1  24
        0.02165        1.44862   1  25
        0.02165        1.44920   1  26
        0.02165        1.45654   1  27
        0.02165        1.45745   1  28
        0.02165        1.46767   1  29
        0.02165        1.50650   1  30
        0.02165        1.51900   1  31
        0.02165        1.80603   1  32
        0.02165        2.26079   1  33
        0.02165        2.32519   1  34
        0.02165        2.38300   1  35
        0.02165        2.55142   1  36
        0.02165        2.55726   1  37
        0.02165        2.60955   1  38
        0.02165        2.63394   1  39
        0.02165        2.64060   1  40
        0.02165        2.66406   1  41
        0.02165        2.66579   1  42
        0.04330       -2.33970   1   1
        0.04330       -2.23264   1   2
        0.04330       -2.12937   1   3
        0.04330       -1.13677   1   4
        0.04330       -1.12776   1   5
        0.04330       -1.11883   1   6
        0.04330       -1.10986   1   7
        0.04330       -1.10097   1   8
        0.04330       -1.09205   1   9
        0.04330       -1.08320   1  10
        0.04330        0.50244   1  11
        0.04330        0.50501   1  12
        0.04330        0.50975   1  13
        0.04330        0.51434   1  14
        0.04330        0.51777   1  15
        0.04330        0.52671   1  16
        0.04330        0.81800   1  17
        0.04330        0.86807   1  18
        0.04330        0.88432   1  19
        0.04330        1.39258   1  20
        0.04330        1.39615   1  21
        0.04330        1.43100   1  22
        0.04330        1.43267   1  23
        0.04330        1.44477   1  24
        0.04330        1.44741   1  25
        0.04330        1.44842   1  26
        0.04330        1.46093   1  27
        0.04330        1.46270   1  28
        0.04330        1.46971   1  29
        0.04330        1.50645   1  30
        0.04330        1.51777   1  31
        0.04330        1.80692   1  32
        0.04330        2.26402   1  33
        0.04330        2.32952   1  34
        0.04330        2.39501   1  35
        0.04330        2.56080   1  36
        0.04330        2.56679   1  37
        0.04330        2.61781   1  38
        0.04330        2.64240   1  39
        0.04330        2.64914   1  40
        0.04330        2.65964   1  41
        0.04330        2.66399   1  42
        0.06495       -2.33970   1   1
        0.06495       -2.23264   1   2
        0.06495       -2.12937   1   3
        0.06495       -1.13677   1   4
        0.06495       -1.12776   1   5
        0.06495       -1.11883   1   6
        0.06495       -1.10986   1   7
        0.06495       -1.10097   1   8
        0.06495       -1.09205   1   9
        0.06495       -1.08320   1  10
        0.06495        0.50244   1  11
        0.06495        0.50500   1  12
        0.06495        0.50976   1  13
        0.06495        0.51429   1  14
        0.06495        0.51772   1  15
        0.06495        0.52653   1  16
        0.06495        0.81759   1  17
        0.06495        0.86802   1  18
        0.06495        0.88425   1  19
        0.06495        1.39122   1  20
        0.06495        1.39549   1  21
        0.06495        1.43059   1  22
        0.06495        1.43180   1  23
        0.06495        1.44452   1  24
        0.06495        1.44647   1  25
        0.06495        1.44869   1  26
        0.06495        1.46612   1  27
        0.06495        1.46932   1  28
        0.06495        1.47274   1  29
        0.06495        1.50627   1  30
        0.06495        1.51593   1  31
        0.06495        1.80662   1  32
        0.06495        2.26915   1  33
        0.06495        2.33602   1  34
        0.06495        2.40977   1  35
        0.06495        2.57350   1  36
        0.06495        2.57938   1  37
        0.06495        2.62887   1  38
        0.06495        2.65175   1  39
        0.06495        2.65800   1  40
        0.06495        2.65998   1  41
        0.06495        2.66444   1  42
        0.08660       -2.33970   1   1
        0.08660       -2.23264   1   2
        0.08660       -2.12937   1   3
        0.08660       -1.13677   1   4
        0.08660       -1.12776   1   5
        0.08660       -1.11883   1   6
        0.08660       -1.10986   1   7
        0.08660       -1.10097   1   8
        0.08660       -1.09205   1   9
        0.08660       -1.08320   1  10
        0.08660        0.50243   1  11
        0.08660        0.50498   1  12
        0.08660        0.50975   1  13
        0.08660        0.51421   1  14
        0.08660        0.51765   1  15
