   -0.2523123759 ! ef or estaticav
    0.0000000000   0.00000  0.00000  0.00000 !x q
    0.0416666667   0.00000 -0.04167  0.00000 !x q
    0.0833333333   0.00000 -0.08333  0.00000 !x q
    0.1250000000   0.00000 -0.12500  0.00000 !x q
    0.1666666667   0.00000 -0.16667  0.00000 !x q
    0.2083333333   0.00000 -0.20833  0.00000 !x q
    0.2500000000   0.00000 -0.25000  0.00000 !x q
    0.2916666667   0.00000 -0.29167  0.00000 !x q
    0.3333333333   0.00000 -0.33333  0.00000 !x q
    0.3750000000   0.00000 -0.37500  0.00000 !x q
    0.4166666667   0.00000 -0.41667  0.00000 !x q
    0.4583333333   0.00000 -0.45833  0.00000 !x q
    0.5000000000   0.00000 -0.50000  0.00000 !x q
    0.5000000000   0.00000 -0.50000  0.00000 !x q
    0.5416666667  -0.04167 -0.50000  0.00000 !x q
    0.5833333333  -0.08333 -0.50000  0.00000 !x q
    0.6250000000  -0.12500 -0.50000  0.00000 !x q
    0.6666666667  -0.16667 -0.50000  0.00000 !x q
    0.7083333333  -0.20833 -0.50000  0.00000 !x q
    0.7500000000  -0.25000 -0.50000  0.00000 !x q
    0.7916666667  -0.29167 -0.50000  0.00000 !x q
    0.8333333333  -0.33333 -0.50000  0.00000 !x q
    0.8750000000  -0.37500 -0.50000  0.00000 !x q
    0.9166666667  -0.41667 -0.50000  0.00000 !x q
    0.9583333333  -0.45833 -0.50000  0.00000 !x q
    1.0000000000  -0.50000 -0.50000  0.00000 !x q
    1.0000000000  -0.50000 -0.50000  0.00000 !x q
    1.0392837101  -0.47222 -0.47222  0.00000 !x q
    1.0785674201  -0.44444 -0.44444  0.00000 !x q
    1.1178511302  -0.41667 -0.41667  0.00000 !x q
    1.1571348403  -0.38889 -0.38889  0.00000 !x q
    1.1964185503  -0.36111 -0.36111  0.00000 !x q
    1.2357022604  -0.33333 -0.33333  0.00000 !x q
    1.2749859705  -0.30556 -0.30556  0.00000 !x q
    1.3142696805  -0.27778 -0.27778  0.00000 !x q
    1.3535533906  -0.25000 -0.25000  0.00000 !x q
    1.3928371007  -0.22222 -0.22222  0.00000 !x q
    1.4321208107  -0.19444 -0.19444  0.00000 !x q
    1.4714045208  -0.16667 -0.16667  0.00000 !x q
    1.5106882309  -0.13889 -0.13889  0.00000 !x q
    1.5499719409  -0.11111 -0.11111  0.00000 !x q
    1.5892556510  -0.08333 -0.08333  0.00000 !x q
    1.6285393611  -0.05556 -0.05556  0.00000 !x q
    1.6678230711  -0.02778 -0.02778  0.00000 !x q
    1.7071067812   0.00000  0.00000  0.00000 !x q
    1.7071067812   0.00000  0.00000  0.00000 !x q
    1.7365270155   0.00000  0.00000 -0.02942 !x q
    1.7659472497   0.00000  0.00000 -0.05884 !x q
    1.7659472497   0.00000  0.00000 -0.05884 !x q
    1.8076139164   0.00000 -0.04167 -0.05884 !x q
    1.8492805831   0.00000 -0.08333 -0.05884 !x q
    1.8909472497   0.00000 -0.12500 -0.05884 !x q
    1.9326139164   0.00000 -0.16667 -0.05884 !x q
    1.9742805831   0.00000 -0.20833 -0.05884 !x q
    2.0159472497   0.00000 -0.25000 -0.05884 !x q
    2.0576139164   0.00000 -0.29167 -0.05884 !x q
    2.0992805831   0.00000 -0.33333 -0.05884 !x q
    2.1409472497   0.00000 -0.37500 -0.05884 !x q
    2.1826139164   0.00000 -0.41667 -0.05884 !x q
    2.2242805831   0.00000 -0.45833 -0.05884 !x q
    2.2659472497   0.00000 -0.50000 -0.05884 !x q
    2.2659472497   0.00000 -0.50000 -0.05884 !x q
    2.3076139164  -0.04167 -0.50000 -0.05884 !x q
    2.3492805831  -0.08333 -0.50000 -0.05884 !x q
    2.3909472497  -0.12500 -0.50000 -0.05884 !x q
    2.4326139164  -0.16667 -0.50000 -0.05884 !x q
    2.4742805831  -0.20833 -0.50000 -0.05884 !x q
    2.5159472497  -0.25000 -0.50000 -0.05884 !x q
    2.5576139164  -0.29167 -0.50000 -0.05884 !x q
    2.5992805831  -0.33333 -0.50000 -0.05884 !x q
    2.6409472497  -0.37500 -0.50000 -0.05884 !x q
    2.6826139164  -0.41667 -0.50000 -0.05884 !x q
    2.7242805831  -0.45833 -0.50000 -0.05884 !x q
    2.7659472497  -0.50000 -0.50000 -0.05884 !x q
    2.7659472497  -0.50000 -0.50000 -0.05884 !x q
    2.8052309598  -0.47222 -0.47222 -0.05884 !x q
    2.8445146699  -0.44444 -0.44444 -0.05884 !x q
    2.8837983799  -0.41667 -0.41667 -0.05884 !x q
    2.9230820900  -0.38889 -0.38889 -0.05884 !x q
    2.9623658001  -0.36111 -0.36111 -0.05884 !x q
    3.0016495101  -0.33333 -0.33333 -0.05884 !x q
    3.0409332202  -0.30556 -0.30556 -0.05884 !x q
    3.0802169303  -0.27778 -0.27778 -0.05884 !x q
    3.1195006403  -0.25000 -0.25000 -0.05884 !x q
    3.1587843504  -0.22222 -0.22222 -0.05884 !x q
    3.1980680605  -0.19444 -0.19444 -0.05884 !x q
    3.2373517705  -0.16667 -0.16667 -0.05884 !x q
    3.2766354806  -0.13889 -0.13889 -0.05884 !x q
    3.3159191907  -0.11111 -0.11111 -0.05884 !x q
    3.3552029007  -0.08333 -0.08333 -0.05884 !x q
    3.3944866108  -0.05556 -0.05556 -0.05884 !x q
    3.4337703209  -0.02778 -0.02778 -0.05884 !x q
    3.4730540309   0.00000  0.00000 -0.05884 !x q
    3.4730540309   0.00000 -0.50000  0.00000 !x q
    3.5024742652   0.00000 -0.50000 -0.02942 !x q
    3.5318944995   0.00000 -0.50000 -0.05884 !x q
    3.5318944995  -0.50000 -0.50000  0.00000 !x q
    3.5613147337  -0.50000 -0.50000 -0.02942 !x q
    3.5907349680  -0.50000 -0.50000 -0.05884 !x q
