 0.000000 -0.674045 1 1
 0.000000  0.246850 1 2
 0.000000  0.246850 1 3
 0.000000  0.246850 1 4
 0.000000  0.490041 1 5
 0.000000  0.490041 1 6
 0.000000  0.490041 1 7
 0.000000  0.529586 1 8
 0.000000  1.079916 1 9
 0.000000  1.079916 1 10
 0.000000  1.650783 1 11
 0.000000  1.650783 1 12
 0.000000  1.650783 1 13
 0.000000  2.267705 1 14
 0.000000  2.267705 1 15
 0.000000  2.410652 1 16
 0.000000  2.410652 1 17
 0.000000  2.410652 1 18
 0.050000 -0.673209 1 1
 0.050000  0.241123 1 2
 0.050000  0.243160 1 3
 0.050000  0.243439 1 4
 0.050000  0.487714 1 5
 0.050000  0.494337 1 6
 0.050000  0.494684 1 7
 0.050000  0.534289 1 8
 0.050000  1.070277 1 9
 0.050000  1.081450 1 10
 0.050000  1.647937 1 11
 0.050000  1.648139 1 12
 0.050000  1.651926 1 13
 0.050000  2.260235 1 14
 0.050000  2.263397 1 15
 0.050000  2.407403 1 16
 0.050000  2.408784 1 17
 0.050000  2.411374 1 18
 0.100000 -0.670719 1 1
 0.100000  0.225033 1 2
 0.100000  0.232903 1 3
 0.100000  0.233747 1 4
 0.100000  0.481002 1 5
 0.100000  0.506741 1 6
 0.100000  0.507826 1 7
 0.100000  0.547460 1 8
 0.100000  1.042751 1 9
 0.100000  1.086210 1 10
 0.100000  1.640203 1 11
 0.100000  1.640882 1 12
 0.100000  1.655966 1 13
 0.100000  2.240759 1 14
 0.100000  2.251095 1 15
 0.100000  2.398633 1 16
 0.100000  2.403398 1 17
 0.100000  2.412593 1 18
 0.150000 -0.666612 1 1
 0.150000  0.201045 1 2
 0.150000  0.217915 1 3
 0.150000  0.219126 1 4
 0.150000  0.470633 1 5
 0.150000  0.526054 1 6
 0.150000  0.527695 1 7
 0.150000  0.566839 1 8
 0.150000  1.001499 1 9
 0.150000  1.094542 1 10
 0.150000  1.629541 1 11
 0.150000  1.630669 1 12
 0.150000  1.664154 1 13
 0.150000  2.214867 1 14
 0.150000  2.232231 1 15
 0.150000  2.386899 1 16
 0.150000  2.395178 1 17
 0.150000  2.413374 1 18
 0.200000 -0.660922 1 1
 0.200000  0.171674 1 2
 0.200000  0.200064 1 3
 0.200000  0.201215 1 4
 0.200000  0.457577 1 5
 0.200000  0.550822 1 6
 0.200000  0.552506 1 7
 0.200000  0.589300 1 8
 0.200000  0.953521 1 9
 0.200000  1.106686 1 10
 0.200000  1.618060 1 11
 0.200000  1.619327 1 12
 0.200000  1.677232 1 13
 0.200000  2.186356 1 14
 0.200000  2.208126 1 15
 0.200000  2.375402 1 16
 0.200000  2.385278 1 17
 0.200000  2.414223 1 18
 0.250000 -0.653652 1 1
 0.250000  0.138890 1 2
 0.250000  0.180775 1 3
 0.250000  0.181544 1 4
 0.250000  0.442785 1 5
 0.250000  0.579702 1 6
 0.250000  0.580932 1 7
 0.250000  0.609705 1 8
 0.250000  0.909154 1 9
 0.250000  1.122516 1 10
 0.250000  1.607118 1 11
 0.250000  1.608105 1 12
 0.250000  1.694811 1 13
 0.250000  2.155814 1 14
 0.250000  2.179401 1 15
 0.250000  2.366908 1 16
 0.250000  2.375253 1 17
 0.250000  2.415827 1 18
 0.300000 -0.644776 1 1
 0.300000  0.104112 1 2
 0.300000  0.161037 1 3
 0.300000  0.161327 1 4
 0.300000  0.427020 1 5
 0.300000  0.611672 1 6
 0.300000  0.612178 1 7
 0.300000  0.618970 1 8
 0.300000  0.882575 1 9
 0.300000  1.141504 1 10
 0.300000  1.596989 1 11
 0.300000  1.597400 1 12
 0.300000  1.715830 1 13
 0.300000  2.121525 1 14
 0.300000  2.146229 1 15
 0.300000  2.363049 1 16
 0.300000  2.366938 1 17
 0.300000  2.417580 1 18
 0.350000 -0.634263 1 1
 0.350000  0.068374 1 2
 0.350000  0.141423 1 3
 0.350000  0.141552 1 4
 0.350000  0.410854 1 5
 0.350000  0.608486 1 6
 0.350000  0.645924 1 7
 0.350000  0.646161 1 8
 0.350000  0.886029 1 9
 0.350000  1.162940 1 10
 0.350000  1.586981 1 11
 0.350000  1.587161 1 12
 0.350000  1.739690 1 13
 0.350000  2.081525 1 14
 0.350000  2.109206 1 15
 0.350000  2.362233 1 16
 0.350000  2.364228 1 17
 0.350000  2.417370 1 18
 0.400000 -0.622092 1 1
 0.400000  0.032431 1 2
 0.400000  0.122392 1 3
 0.400000  0.122851 1 4
 0.400000  0.394812 1 5
 0.400000  0.581720 1 6
 0.400000  0.682220 1 7
 0.400000  0.683049 1 8
 0.400000  0.917450 1 9
 0.400000  1.186285 1 10
 0.400000  1.576484 1 11
 0.400000  1.577017 1 12
 0.400000  1.767108 1 13
 0.400000  2.035557 1 14
 0.400000  2.070036 1 15
 0.400000  2.362642 1 16
 0.400000  2.369936 1 17
 0.400000  2.412633 1 18
 0.450000 -0.608276 1 1
 0.450000 -0.003194 1 2
 0.450000  0.104602 1 3
 0.450000  0.105325 1 4
 0.450000  0.379518 1 5
 0.450000  0.549167 1 6
 0.450000  0.721305 1 7
 0.450000  0.722508 1 8
 0.450000  0.965470 1 9
 0.450000  1.211421 1 10
 0.450000  1.565808 1 11
 0.450000  1.566403 1 12
 0.450000  1.799881 1 13
 0.450000  1.985762 1 14
 0.450000  2.031329 1 15
 0.450000  2.368691 1 16
 0.450000  2.379109 1 17
 0.450000  2.401941 1 18
 0.500000 -0.592850 1 1
 0.500000 -0.038210 1 2
 0.500000  0.088306 1 3
 0.500000  0.089208 1 4
 0.500000  0.365713 1 5
