 q(1:3)   w(Ry)   eps  epsi --- LFC included. 
  0.10000000  0.00000000  0.00000000    0.0000D+00  0.521725374525703E+02  0.626531412755456E-16    0.191671720185949E-01 -0.230175413152068E-19
  0.10000000  0.00000000  0.00000000    0.1100D-01  0.523334373486819E+02  0.288329565958754E-16    0.191082422761055E-01 -0.105276310535390E-19
  0.10000000  0.00000000  0.00000000    0.3500D-01  0.538943306891324E+02  0.394931957961493E-16    0.185548273299486E-01 -0.135967813188404E-19
  0.10000000  0.00000000  0.00000000    0.6300D-01  0.591897656166793E+02  0.363097789928275E-02    0.168948125713651E-01 -0.103640706159284E-05
  0.10000000  0.00000000  0.00000000    0.9500D-01  0.706925290143270E+02  0.461051344878236E+01    0.140858515019233E-01 -0.918668615943941E-03
  0.10000000  0.00000000  0.00000000    0.1310D+00  0.809653398280086E+02  0.273798122972976E+02    0.110834897102284E-01 -0.374807131680936E-02
  0.10000000  0.00000000  0.00000000    0.1710D+00  0.810992255411335E+02  0.686733682986754E+02    0.718129755169724E-02 -0.608099384845479E-02
  0.10000000  0.00000000  0.00000000    0.2150D+00  0.346443996479947E+02  0.990532395046259E+02    0.314612204297551E-02 -0.899520798166505E-02
  0.10000000  0.00000000  0.00000000    0.2630D+00 -0.294491660667951E+02  0.718249599256445E+02   -0.488695381031338E-02 -0.119190221138385E-01
  0.10000000  0.00000000  0.00000000    0.3150D+00 -0.226773498211661E+02  0.152454578998524E+02   -0.303706568882569E-01 -0.204174903431010E-01
  0.10000000  0.00000000  0.00000000    0.3710D+00  0.852981262251043E+00  0.331550719513244E+02    0.775447117424671E-03 -0.301413478941056E-01
  0.10000000  0.00000000  0.00000000    0.4310D+00 -0.197252928615521E+02  0.150557051702046E+02   -0.320339853839989E-01 -0.244505489856733E-01
  0.10000000  0.00000000  0.00000000    0.4950D+00 -0.814506223288453E+01  0.161750660381427E+02   -0.248344148087224E-01 -0.493180147756162E-01
  0.10000000  0.00000000  0.00000000    0.5630D+00 -0.118881466282462E+02  0.188652229751934E+02   -0.239090040972342E-01 -0.379410439250005E-01
  0.10000000  0.00000000  0.00000000    0.6350D+00 -0.137760650705359E+02  0.618172969559454E+01   -0.604229941336169E-01 -0.271135926855771E-01
  0.10000000  0.00000000  0.00000000    0.7110D+00 -0.917043937466105E+01  0.468936170827125E+01   -0.864425725040191E-01 -0.442029517783918E-01
  0.10000000  0.00000000  0.00000000    0.7910D+00 -0.718736162466279E+01  0.333020774097544E+01   -0.114542455502794E+00 -0.530723500368795E-01
  0.10000000  0.00000000  0.00000000    0.8750D+00 -0.556164919767741E+01  0.243196097570488E+01   -0.150941552566380E+00 -0.660027183316488E-01
  0.10000000  0.00000000  0.00000000    0.9630D+00 -0.441807026351294E+01  0.194902653882982E+01   -0.189469976935771E+00 -0.835844591266558E-01
  0.10000000  0.00000000  0.00000000    0.1055D+01 -0.365319088530064E+01  0.170262034881283E+01   -0.224884821254092E+00 -0.104810694219950E+00
  0.10000000  0.00000000  0.00000000    0.1151D+01 -0.308142529112394E+01  0.109348718343772E+01   -0.288228907859436E+00 -0.102282089248896E+00
  0.10000000  0.00000000  0.00000000    0.1251D+01 -0.265586100154267E+01  0.812871281893539E+00   -0.344275079642516E+00 -0.105371224303704E+00
  0.10000000  0.00000000  0.00000000    0.1355D+01 -0.201902118147840E+01  0.446784582320984E+00   -0.472168250137922E+00 -0.104485032825971E+00
