 0.000000  0.484207 2 1
 0.000000  0.546577 2 2
 0.000000  0.559184 2 3
 0.000000  0.573479 2 4
 0.000000  0.652872 2 5
 0.000000  0.653900 2 6
 0.000000  0.684856 2 7
 0.047619  0.483315 2 1
 0.047619  0.545480 2 2
 0.047619  0.558199 2 3
 0.047619  0.573291 2 4
 0.047619  0.652221 2 5
 0.047619  0.653215 2 6
 0.047619  0.683935 2 7
 0.095238  0.482301 2 1
 0.095238  0.541874 2 2
 0.095238  0.555807 2 3
 0.095238  0.572619 2 4
 0.095238  0.650331 2 5
 0.095238  0.651572 2 6
 0.095238  0.681370 2 7
 0.142857  0.482284 2 1
 0.142857  0.536106 2 2
 0.142857  0.551916 2 3
 0.142857  0.571575 2 4
 0.142857  0.647455 2 5
 0.142857  0.649701 2 6
 0.142857  0.677487 2 7
 0.190476  0.484582 2 1
 0.190476  0.528787 2 2
 0.190476  0.546538 2 3
 0.190476  0.570306 2 4
 0.190476  0.644072 2 5
 0.190476  0.648157 2 6
 0.190476  0.672781 2 7
 0.238095  0.490131 2 1
 0.238095  0.520708 2 2
 0.238095  0.539891 2 3
 0.238095  0.568947 2 4
 0.238095  0.640536 2 5
 0.238095  0.647290 2 6
 0.238095  0.667830 2 7
 0.285714  0.498935 2 1
 0.285714  0.512663 2 2
 0.285714  0.532366 2 3
 0.285714  0.567598 2 4
 0.285714  0.637011 2 5
 0.285714  0.647260 2 6
 0.285714  0.663188 2 7
 0.333333  0.505265 2 1
 0.333333  0.509914 2 2
 0.333333  0.524422 2 3
 0.333333  0.566334 2 4
 0.333333  0.633551 2 5
 0.333333  0.648051 2 6
 0.333333  0.659249 2 7
 0.380952  0.498919 2 1
 0.380952  0.516505 2 2
 0.380952  0.521195 2 3
 0.380952  0.565249 2 4
 0.380952  0.630143 2 5
 0.380952  0.649474 2 6
 0.380952  0.656163 2 7
 0.428571  0.493734 2 1
 0.428571  0.509108 2 2
 0.428571  0.530729 2 3
 0.428571  0.564536 2 4
 0.428571  0.626699 2 5
 0.428571  0.651190 2 6
 0.428571  0.653837 2 7
 0.476190  0.489644 2 1
 0.476190  0.502607 2 2
 0.476190  0.537015 2 3
 0.476190  0.564451 2 4
 0.476190  0.623060 2 5
 0.476190  0.651951 2 6
 0.476190  0.652873 2 7
 0.523810  0.486470 2 1
 0.523810  0.497314 2 2
 0.523810  0.539720 2 3
 0.523810  0.564944 2 4
 0.523810  0.619063 2 5
 0.523810  0.650458 2 6
 0.523810  0.654018 2 7
 0.571429  0.484015 2 1
 0.571429  0.493367 2 2
 0.571429  0.539899 2 3
 0.571429  0.565474 2 4
 0.571429  0.614632 2 5
 0.571429  0.649162 2 6
 0.571429  0.654621 2 7
 0.619048  0.482114 2 1
 0.619048  0.490748 2 2
 0.619048  0.539055 2 3
 0.619048  0.565688 2 4
 0.619048  0.609847 2 5
 0.619048  0.648191 2 6
 0.619048  0.654751 2 7
 0.666667  0.480604 2 1
 0.666667  0.489401 2 2
 0.666667  0.538368 2 3
 0.666667  0.565779 2 4
 0.666667  0.604945 2 5
 0.666667  0.647711 2 6
 0.666667  0.654659 2 7
 0.714286  0.479308 2 1
 0.714286  0.489296 2 2
 0.714286  0.538575 2 3
 0.714286  0.566180 2 4
 0.714286  0.600248 2 5
 0.714286  0.647812 2 6
 0.714286  0.654619 2 7
 0.761905  0.478149 2 1
 0.761905  0.490320 2 2
 0.761905  0.539967 2 3
 0.761905  0.567222 2 4
 0.761905  0.596054 2 5
 0.761905  0.648419 2 6
 0.761905  0.654807 2 7
 0.809524  0.477173 2 1
 0.809524  0.492177 2 2
 0.809524  0.542409 2 3
 0.809524  0.568956 2 4
 0.809524  0.592561 2 5
 0.809524  0.649323 2 6
 0.809524  0.655262 2 7
 0.857143  0.476446 2 1
 0.857143  0.494425 2 2
 0.857143  0.545406 2 3
 0.857143  0.571130 2 4
 0.857143  0.589855 2 5
 0.857143  0.650270 2 6
 0.857143  0.655895 2 7
 0.904762  0.475972 2 1
 0.904762  0.496557 2 2
 0.904762  0.548257 2 3
 0.904762  0.573267 2 4
 0.904762  0.587942 2 5
 0.904762  0.651060 2 6
 0.904762  0.656551 2 7
 0.952381  0.475697 2 1
 0.952381  0.498096 2 2
 0.952381  0.550262 2 3
 0.952381  0.574832 2 4
 0.952381  0.586797 2 5
 0.952381  0.651581 2 6
 0.952381  0.657062 2 7
